source_length_tercile,grid_offset,bin,n,mean_predicted_p,observed_rate,mean_bias
hermes x long,1,0,1934,0.0,0.08634953464322648,-0.08634953464322648
hermes x long,1,1,12820,0.1599472353047628,0.1299531981279251,0.029994037176837685
hermes x long,1,2,5816,0.23659345676497426,0.30175378266850067,-0.06516032590352641
hermes x long,1,3,2602,0.3439560585224567,0.2920830130668716,0.051873045455585076
hermes x long,1,4,1179,0.43351405726079334,0.30279898218829515,0.1307150750724982
hermes x long,1,5,1239,0.5462494773899631,0.38579499596448746,0.16045448142547564
hermes x long,1,6,440,0.6191522872905545,0.45,0.16915228729055448
hermes x long,1,7,52,0.7514945683978824,0.7115384615384616,0.03995610685942086
hermes x long,1,8,20,0.8255128892317194,0.95,-0.12448711076828056
hermes x long,1,9,6,1.0,1.0,0.0
hermes x long,2,1,1813,0.18271190544825233,0.14230557087699944,0.040406334571252894
hermes x long,2,2,11513,0.2618476270544851,0.18787457656562148,0.07397305048886363
hermes x long,2,3,5603,0.35202567771900495,0.37676244868820274,-0.024736770969197797
hermes x long,2,4,3554,0.4414605678555859,0.46398424310635905,-0.022523675250773145
hermes x long,2,5,1790,0.5394136725726055,0.4558659217877095,0.08354775078489601
hermes x long,2,6,934,0.6458278354227472,0.5588865096359743,0.08694132578677294
hermes x long,2,7,787,0.7295650689940164,0.6531130876747141,0.07645198131930231
hermes x long,2,8,70,0.8370101434253535,0.6142857142857143,0.2227244291396392
hermes x long,2,9,44,1.0,0.9318181818181818,0.06818181818181823
hermes x long,4,1,42,0.18908872242798425,0.47619047619047616,-0.2871017537624919
hermes x long,4,2,445,0.2442221540292864,0.36179775280898874,-0.11757559877970233
hermes x long,4,3,2302,0.3533365508133688,0.28279756733275413,0.07053898348061466
hermes x long,4,4,5958,0.4532302445410377,0.342228935884525,0.1110013086565127
hermes x long,4,5,9181,0.5383534646323734,0.4094325236902298,0.12892094094214362
hermes x long,4,6,4599,0.6447821881178417,0.6512285279408567,-0.006446339823015013
hermes x long,4,7,2211,0.7461507054518544,0.7485300768882859,-0.002379371436431521
hermes x long,4,8,783,0.8392296174963273,0.822477650063857,0.016751967432470316
hermes x long,4,9,587,1.0,0.817717206132879,0.18228279386712098
hermes x long,8,2,5,0.29937061558471967,0.6,-0.3006293844152803
hermes x long,8,3,257,0.33744273850703016,0.5875486381322957,-0.2501058996252656
hermes x long,8,4,93,0.44959893264135686,0.5376344086021505,-0.08803547596079364
hermes x long,8,5,1378,0.5798244571442382,0.4005805515239477,0.17924390562029052
hermes x long,8,6,1220,0.6725208735667189,0.4262295081967213,0.24629136536999757
hermes x long,8,7,10424,0.7577964585265132,0.6221220260936301,0.13567443243288313
hermes x long,8,8,8134,0.8406952994619694,0.8646422424391443,-0.023946942977174923
hermes x long,8,9,3788,1.0,0.9561774023231256,0.04382259767687435
hermes x long,16,4,31,0.4924384681760862,0.8064516129032258,-0.31401314472713954
hermes x long,16,5,210,0.5282301808675585,0.8428571428571429,-0.3146269619895844
hermes x long,16,6,167,0.644017803992289,0.8203592814371258,-0.17634147744483675
hermes x long,16,7,192,0.7754854528993057,0.8020833333333334,-0.026597880434027665
hermes x long,16,8,687,0.8499991428031102,0.8180494905385735,0.03194965226453672
hermes x long,16,9,17630,1.0,0.9319909245604084,0.06800907543959156
hermes x long,32,7,74,0.7443940711517097,1.0,-0.25560592884829025
hermes x long,32,8,69,0.8586135049000707,0.9420289855072463,-0.08341548060717563
hermes x long,32,9,9919,1.0,0.9865913902611151,0.013408609738884913
hermes x long,64,9,1992,1.0,1.0,0.0
hermes x medium,1,0,2208,0.0,0.13451086956521738,-0.13451086956521738
hermes x medium,1,1,7710,0.15658880649259302,0.3345006485084306,-0.17791184201583757
hermes x medium,1,2,1363,0.2318778827650374,0.5898752751283932,-0.3579973923633558
hermes x medium,1,3,1349,0.3486321031864966,0.8317272053372868,-0.4830951021507902
hermes x medium,1,4,1029,0.42854897063515596,0.9533527696793003,-0.5248037990441443
hermes x medium,1,5,91,0.5264329091215028,1.0,-0.47356709087849724
hermes x medium,2,1,1161,0.19635859429856156,0.31180017226528856,-0.115441577966727
hermes x medium,2,2,8420,0.2561202927193238,0.3819477434679335,-0.12582745074860968
hermes x medium,2,3,1486,0.352247604283528,0.7254374158815612,-0.37318981159803316
hermes x medium,2,4,1266,0.4485923954088783,0.9131121642969984,-0.4645197688881201
hermes x medium,2,5,1326,0.5424020495384937,0.9894419306184012,-0.44703988107990755
hermes x medium,2,6,91,0.6164135998435297,1.0,-0.3835864001564703
hermes x medium,4,2,63,0.2699704652573896,1.0,-0.7300295347426105
hermes x medium,4,3,1897,0.3575705710884066,0.35582498682129676,0.0017455842671098565
hermes x medium,4,4,4271,0.4440119706069625,0.5525638023881995,-0.10855183178123695
hermes x medium,4,5,5049,0.5320047914822356,0.7472766884531591,-0.21527189697092353
hermes x medium,4,6,1778,0.6492069137618076,0.9836895388076491,-0.3344826250458415
hermes x medium,4,7,692,0.7382003440948485,1.0,-0.26179965590515153
hermes x medium,8,3,6,0.39290004456135064,1.0,-0.6070999554386494
hermes x medium,8,4,18,0.45517352318948945,1.0,-0.5448264768105106
hermes x medium,8,5,1050,0.5893932247041789,0.6438095238095238,-0.054416299105344956
hermes x medium,8,6,1087,0.6779031681675675,0.7378104875804968,-0.05990731941292937
hermes x medium,8,7,7876,0.7548576263023122,0.9217877094972067,-0.16693008319489444
hermes x medium,8,8,3434,0.8337670948248045,0.9988351776354106,-0.16506808281060614
hermes x medium,8,9,146,1.0,1.0,0.0
hermes x medium,16,6,24,0.6500341008579076,1.0,-0.3499658991420924
hermes x medium,16,7,37,0.780311445508433,1.0,-0.219688554491567
hermes x medium,16,8,318,0.8383936314010731,1.0,-0.16160636859892685
hermes x medium,16,9,11775,1.0,1.0,0.0
hermes x medium,32,8,14,0.8986103612104464,1.0,-0.10138963878955365
hermes x medium,32,9,8239,1.0,1.0,0.0
hermes x medium,64,9,1893,1.0,1.0,0.0
hermes x short,1,0,1994,0.0,0.38064192577733197,-0.38064192577733197
hermes x short,1,1,2797,0.1547491144070082,0.694315337861995,-0.5395662234549867
hermes x short,1,2,33,0.2182442339772085,0.9090909090909091,-0.6908466751137006
hermes x short,1,3,98,0.32209066347586485,0.9795918367346939,-0.657501173258829
hermes x short,2,1,1056,0.19884226563542198,0.5208333333333334,-0.3219910676979114
hermes x short,2,2,3726,0.24480428642736735,0.7855609232420827,-0.5407566368147154
hermes x short,2,3,43,0.31413079038357217,1.0,-0.6858692096164278
hermes x short,2,4,97,0.44144562474790794,1.0,-0.5585543752520921
hermes x short,4,3,1557,0.3551349260406035,0.8298008991650611,-0.4746659731244576
hermes x short,4,4,1581,0.4415339080005647,0.9582542694497154,-0.5167203614491507
hermes x short,4,5,1774,0.5138860462256557,0.9492671927846674,-0.4353811465590117
hermes x short,4,6,10,0.6196868525673452,1.0,-0.38031314743265476
hermes x short,8,5,1020,0.5899461710724068,1.0,-0.41005382892759323
hermes x short,8,6,767,0.6772723985840043,1.0,-0.32272760141599566
hermes x short,8,7,3016,0.743861166016673,1.0,-0.25613883398332704
hermes x short,8,8,108,0.8145824375621424,1.0,-0.18541756243785756
hermes x short,16,8,30,0.8734466374295314,1.0,-0.12655336257046856
hermes x short,16,9,4428,1.0,1.0,0.0
hermes x short,32,9,3761,1.0,1.0,0.0
hermes x short,64,9,1578,1.0,1.0,0.0
swe-agent x long,1,0,174966,0.0,0.07660916978155756,-0.07660916978155756
swe-agent x long,1,1,118505,0.13394730251062636,0.17888696679465002,-0.044939664284023656
swe-agent x long,1,2,31920,0.25102885741640224,0.3695802005012531,-0.11855134308485088
swe-agent x long,1,3,22552,0.34612262956716555,0.5263834693153601,-0.1802608397481945
swe-agent x long,1,4,6686,0.43828714502208566,0.6456775351480706,-0.20739039012598492
swe-agent x long,1,5,16131,0.5435428234692562,0.7073956977248775,-0.16385287425562134
swe-agent x long,1,6,30945,0.6348615199618654,0.9383099046695751,-0.30344838470770974
swe-agent x long,1,7,24606,0.7564297368927102,0.9104283508087458,-0.15399861391603564
swe-agent x long,1,8,19736,0.849801022386618,0.938386704499392,-0.08858568211277396
swe-agent x long,1,9,92763,1.0,0.9808975561376843,0.019102443862315743
swe-agent x long,2,0,31637,0.0,0.11698327907197269,-0.11698327907197269
swe-agent x long,2,1,161964,0.15203995692689898,0.13480156084068065,0.017238396086218327
swe-agent x long,2,2,92377,0.25020618225716446,0.2303603710880414,0.019845811169123068
swe-agent x long,2,3,36995,0.35011743762404857,0.38205162859845926,-0.03193419097441069
swe-agent x long,2,4,15328,0.44139579050708666,0.5333376826722338,-0.09194189216514714
swe-agent x long,2,5,17391,0.5400039012689423,0.6415962279339888,-0.10159232666504658
swe-agent x long,2,6,10703,0.6444795800620511,0.7469868261235167,-0.10250724606146566
swe-agent x long,2,7,36125,0.755355492917537,0.9234602076124567,-0.16810471469491972
swe-agent x long,2,8,25336,0.8632218104680605,0.938348594884749,-0.07512678441668852
swe-agent x long,2,9,104117,1.0,0.9839123293986572,0.01608767060134275
swe-agent x long,4,1,42244,0.17745358345446982,0.1658460373070732,0.011607546147396619
swe-agent x long,4,2,122773,0.2629743975150827,0.2346688604171927,0.02830553709789002
swe-agent x long,4,3,50013,0.35130921605650384,0.2710695219242997,0.08023969413220416
swe-agent x long,4,4,51149,0.44653683610635714,0.3153531838354611,0.131183652270896
swe-agent x long,4,5,62800,0.5306174538073984,0.44914012738853504,0.0814773264188634
swe-agent x long,4,6,16545,0.643412883259363,0.6587488667271079,-0.015335983467744896
swe-agent x long,4,7,18887,0.7582028746529295,0.7855138455021973,-0.027310970849267813
swe-agent x long,4,8,17951,0.8463506819995731,0.8933207063673333,-0.04697002436776021
swe-agent x long,4,9,120779,1.0,0.9840866375777246,0.015913362422275368
swe-agent x long,8,2,18070,0.2680606738781511,0.19180962921970116,0.07625104465844992
swe-agent x long,8,3,27277,0.35075301041975593,0.3435495105766763,0.007203499843079608
swe-agent x long,8,4,67365,0.4562898317904848,0.4061901580939657,0.05009967369651913
swe-agent x long,8,5,101294,0.5454265613528592,0.3983355381365135,0.14709102321634565
swe-agent x long,8,6,56456,0.6453809462854142,0.4614744225591611,0.1839065237262531
swe-agent x long,8,7,64433,0.7558697896255544,0.5822171868452501,0.17365260278030425
swe-agent x long,8,8,23688,0.8436214786750472,0.8211752786220872,0.022446200052960052
swe-agent x long,8,9,123922,1.0,0.9806813963622278,0.019318603637772158
swe-agent x long,16,4,13074,0.44721516541330614,0.3338687471317118,0.11334641828159436
swe-agent x long,16,5,32742,0.5560357688137295,0.5219290208295156,0.03410674798421387
swe-agent x long,16,6,43535,0.6554307688652412,0.5819685310669577,0.07346223779828354
swe-agent x long,16,7,103580,0.7625255738660863,0.6562560339833945,0.10626953988269183
swe-agent x long,16,8,116585,0.8425927322427126,0.6894626238366857,0.15313010840602692
swe-agent x long,16,9,147988,1.0,0.9603278644214396,0.03967213557856042
swe-agent x long,32,5,1157,0.5968161768783143,0.5237683664649957,0.07304781041331865
swe-agent x long,32,6,8924,0.6419040279173871,0.5545719408337069,0.08733208708368023
swe-agent x long,32,7,22066,0.7663706962481949,0.7214719477929847,0.044898748455210136
swe-agent x long,32,8,53613,0.8526538868425899,0.8217783000391696,0.030875586803420285
swe-agent x long,32,9,309530,1.0,0.9238361386618421,0.07616386133815789
swe-agent x long,64,8,3228,0.878895213264894,0.8726765799256505,0.00621863333924344
swe-agent x long,64,9,290668,1.0,0.9764920803115582,0.023507919688441792
swe-agent x medium,1,0,76941,0.0,0.08701472556894244,-0.08701472556894244
swe-agent x medium,1,1,68294,0.14033240586492884,0.1549623685828916,-0.014629962717962769
swe-agent x medium,1,2,20971,0.24621246688882792,0.22454818558962378,0.02166428129920414
swe-agent x medium,1,3,9591,0.34334126503723805,0.2941299134605359,0.049211351576702145
swe-agent x medium,1,4,1852,0.43982495004384004,0.45680345572354214,-0.016978505679702105
swe-agent x medium,1,5,4010,0.5393041518315881,0.5518703241895262,-0.01256617235793811
swe-agent x medium,1,6,1675,0.6461643586147556,0.7253731343283583,-0.07920877571360263
swe-agent x medium,1,7,1710,0.7589241407165358,0.8251461988304094,-0.0662220581138736
swe-agent x medium,1,8,1078,0.8315628524627776,0.935064935064935,-0.10350208260215743
swe-agent x medium,1,9,1953,1.0,0.9544290834613415,0.045570916538658524
swe-agent x medium,2,0,21854,0.0,0.03843689942344651,-0.03843689942344651
swe-agent x medium,2,1,34679,0.15876048761313885,0.24389399925026672,-0.08513351163712787
swe-agent x medium,2,2,79809,0.2510139128242252,0.2756080141337443,-0.024594101309519112
swe-agent x medium,2,3,27232,0.3482352025618033,0.34150998824911866,0.006725214312684635
swe-agent x medium,2,4,7575,0.4404391779847699,0.5091749174917491,-0.06873573950697925
swe-agent x medium,2,5,6554,0.5343057849018702,0.6454073848031736,-0.11110159990130342
swe-agent x medium,2,6,2824,0.6417421946440444,0.7294617563739377,-0.08771956172989337
swe-agent x medium,2,7,3266,0.7590606348540327,0.8423147581139008,-0.08325412325986803
swe-agent x medium,2,8,1532,0.838962669714876,0.9171018276762402,-0.07813915796136417
swe-agent x medium,2,9,2736,1.0,0.966374269005848,0.033625730994152
swe-agent x medium,4,1,12056,0.1920844337237859,0.1353682813536828,0.05671615237010308
swe-agent x medium,4,2,30707,0.2625676551034342,0.36281629595857623,-0.10024864085514201
swe-agent x medium,4,3,26288,0.36159573409364704,0.550022824102252,-0.18842709000860497
swe-agent x medium,4,4,41337,0.4474671271049825,0.5771100950722113,-0.12964296796722885
swe-agent x medium,4,5,54721,0.526898212770554,0.6064216662707187,-0.07952345350016465
swe-agent x medium,4,6,9031,0.6393747557592849,0.848078839552652,-0.20870408379336702
swe-agent x medium,4,7,6264,0.7569549350464316,0.9058109833971902,-0.1488560483507586
swe-agent x medium,4,8,3617,0.8409703433454111,0.9560409178877523,-0.11507057454234115
swe-agent x medium,4,9,3988,1.0,0.9874623871614845,0.01253761283851551
