source,n,crossing_count,crossing_rate,mean_reordering_magnitude_when_crossed,p95_reordering_magnitude_when_crossed
hermes,44780,4153,0.0927422956677088,0.26386186285110347,0.7809890928945418
pooled,917339,182143,0.1985558228746407,0.09864963035005411,0.5886174292132624
swe-agent,828735,175752,0.21207261669894478,0.09261125273948312,0.5743204166217684
terminalbench,43824,2238,0.05106790799561884,0.26626828103755523,0.8830464622969234
