phase,gpu,samples,power_mean_w
baseline,0,479,344.2638204592902
baseline,1,479,82.2841127348643
drain,0,101,357.4690099009901
drain,1,101,136.71425742574255
post,0,479,257.57661795407097
post,1,479,171.97820459290188
