phase,gpu,samples,power_mean_w
baseline,0,119,230.2343697478992
baseline,1,119,84.39142857142859
drain,0,242,163.10545454545456
drain,1,242,133.73396694214875
post,0,120,121.37316666666668
post,1,120,141.28766666666667
