actual_start_span_s,cell_id,client_error,completed,drained,engine_exited,exact_timing,failed,max_send_lateness_s,model,offered,offered_rps,p90_mean_tpot_s,p90_ttft_s,peak_running_requests,peak_waiting_requests,plan_sha256,repeat,revision,sampler_error,scheduled_span_s,schema,status
163.516123078,openai-gpt-oss-20b-rps0p125-b0,,32,True,False,31,0,0.034413609,openai/gpt-oss-20b,32,0.125,0.032178805677419355,0.28936679210000005,11.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,163.520773527,queue-haul-agentic-rps-sweep-v1,recorded
93.162877753,openai-gpt-oss-20b-rps0p25-b0,,32,True,False,32,0,0.023255204,openai/gpt-oss-20b,32,0.25,0.03299141977800587,0.2844409529,16.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,93.172083978,queue-haul-agentic-rps-sweep-v1,recorded
48.643801422,openai-gpt-oss-20b-rps0p5-b0,,32,True,False,32,0,0.010285428,openai/gpt-oss-20b,32,0.5,0.03513545709305963,0.2866771014,24.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,48.644541285,queue-haul-agentic-rps-sweep-v1,recorded
38.478615814,openai-gpt-oss-20b-rps1-b0,,32,True,False,32,0,0.010005026,openai/gpt-oss-20b,32,1.0,0.03529685462375367,0.5160017118,28.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,38.480766275,queue-haul-agentic-rps-sweep-v1,recorded
16.659237484,openai-gpt-oss-20b-rps2-b0,,32,True,False,32,0,0.005697027,openai/gpt-oss-20b,32,2.0,0.035986546654545454,0.5766496586000001,32.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,16.659754033,queue-haul-agentic-rps-sweep-v1,recorded
10.826095855,openai-gpt-oss-20b-rps3-b0,,32,True,False,32,0,0.004183069,openai/gpt-oss-20b,32,3.0,0.03551073611446725,0.9597274000000001,32.0,0.0,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,0,6cee5e81ee83917806bbde320786a8fb61efebee,,10.826639115,queue-haul-agentic-rps-sweep-v2,recorded
8.761007901,openai-gpt-oss-20b-rps4-b0,,32,True,False,32,0,0.003987289,openai/gpt-oss-20b,32,4.0,0.03624021525493647,1.0534041472000002,32.0,0.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,8.760765399,queue-haul-agentic-rps-sweep-v1,recorded
6.950474931,openai-gpt-oss-20b-rps5-b0,,32,True,False,32,0,0.002999136,openai/gpt-oss-20b,32,5.0,0.036289045987781036,1.1593170931,32.0,1.0,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,0,6cee5e81ee83917806bbde320786a8fb61efebee,,6.9511965,queue-haul-agentic-rps-sweep-v2,recorded
4.418829345,openai-gpt-oss-20b-rps6-b0,,32,True,False,32,0,0.00262593,openai/gpt-oss-20b,32,6.0,0.036478226653176925,2.9683447679000006,32.0,8.0,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,0,6cee5e81ee83917806bbde320786a8fb61efebee,,4.420083631,queue-haul-agentic-rps-sweep-v2,recorded
4.975693136,openai-gpt-oss-20b-rps7-b0,,32,True,False,32,0,0.004631941,openai/gpt-oss-20b,32,7.0,0.03613824019227762,2.4739243502,32.0,6.0,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,0,6cee5e81ee83917806bbde320786a8fb61efebee,,4.976577085,queue-haul-agentic-rps-sweep-v2,recorded
3.343353543,openai-gpt-oss-20b-rps8-b0,,32,True,False,32,0,0.005720155,openai/gpt-oss-20b,32,8.0,0.03692510084349951,4.1379448091999995,32.0,12.0,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,0,6cee5e81ee83917806bbde320786a8fb61efebee,,3.342518176,queue-haul-agentic-rps-sweep-v1,recorded
6.287465533,openai-gpt-oss-20b-rps5-b1,,32,True,False,32,0,0.006297671,openai/gpt-oss-20b,32,5.0,0.03640528097595308,2.0116351517000006,32.0,4.0,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,1,6cee5e81ee83917806bbde320786a8fb61efebee,,6.281756419,queue-haul-agentic-rps-sweep-v2,recorded
6.006816402,openai-gpt-oss-20b-rps5-b2,,32,True,False,32,0,0.004878493,openai/gpt-oss-20b,32,5.0,0.036526644037341155,1.4629034392,32.0,1.0,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,2,6cee5e81ee83917806bbde320786a8fb61efebee,,6.007895369,queue-haul-agentic-rps-sweep-v2,recorded
5.48455102,openai-gpt-oss-20b-rps6-b1,,32,True,False,32,0,0.003154887,openai/gpt-oss-20b,32,6.0,0.036864118213391986,2.0744570234,32.0,4.0,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,1,6cee5e81ee83917806bbde320786a8fb61efebee,,5.485033225,queue-haul-agentic-rps-sweep-v2,recorded
