bandwidth_mbps,cache_hit_tokens,campaign,commit_ns,copied_blocks_after,copied_blocks_before,copy_policy,destination_ready_ns,duplicate_body_bytes,error,first_body_ns,last_body_ns,logical_body_bytes,measured_prompt_tokens,method,move_concurrency,newly_created_tokens,pause_ns,phase,processed_tail_tokens,protocol_bytes,repeat,route_switch_ns,scenario_id,serving_concurrency,session_id,split,stage_index,start_ns,success,wire_body_bytes,wire_bytes
10000.0,0,serial_crossover,6821100023267690,,,initial_final,6821100022759116,0,,,,0,32720,replay,1,0,6821100022762946,initial,32720,0,0,6821100023052843,x-2c824e02f9af796d,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,-1,6821094707295189,True,0,0
10000.0,0,serial_crossover,6821110917333544,,,initial_final,6821110916996617,0,,,,0,24530,replay,1,0,6821110916999877,initial,24530,0,2,6821110917200665,x-930d46c32aff2712,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,validation,-1,6821107334702630,True,0,0
10000.0,24320,serial_crossover,6821120207338765,,,initial_final,6821120207036088,0,,6821118080801936,6821119431891199,1195376640,24530,kv_transfer,1,0,6821120207038098,initial,210,1235,2,6821120207207246,x-293c5ba656ed6869,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,validation,-1,6821118041011251,True,1195376640,1195377875
10000.0,0,serial_crossover,6821124887815785,,,initial_final,6821124887631727,0,,,,0,1998,replay,1,0,6821124887635677,initial,1998,0,0,6821124887755656,x-dc0385ed877caac4,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,-1,6821124165282582,True,0,0
10000.0,1792,serial_crossover,6821129568745871,,,initial_final,6821129568658972,0,,6821124399012465,6821128873460231,88080384,1998,kv_transfer,1,0,6821129568661802,initial,206,91,0,6821129568719452,x-b193c6d3f1e9a497,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,-1,6821128754224493,True,88080384,88080475
10000.0,1792,serial_crossover,6821134082537457,,,initial_final,6821134082424288,0,,6821129000146273,6821133432224169,88080384,2000,kv_transfer,1,0,6821134082428778,initial,208,91,2,6821134082508947,x-44812b074dfdb971,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,-1,6821133295121423,True,88080384,88080475
10000.0,0,serial_crossover,6821138451543065,,,initial_final,6821138451456565,0,,,,0,2000,replay,1,0,6821138451459855,initial,2000,0,2,6821138451516575,x-98c4a5113231441d,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,-1,6821137764895516,True,0,0
10000.0,0,serial_crossover,6821143866878483,,,initial_final,6821143866718025,0,,,,0,8141,replay,1,0,6821143866722735,initial,8141,0,0,6821143866820214,x-9cb03a900250ff25,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,-1,6821142737778484,True,0,0
10000.0,7936,serial_crossover,6821149200949859,,,initial_final,6821149200800540,0,,6821148096271641,6821148579554317,390070272,8141,kv_transfer,1,0,6821149200802120,initial,205,403,0,6821149200896829,x-86282ab9f8bf9fa3,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,-1,6821148073382533,True,390070272,390070675
10000.0,0,serial_crossover,6821156690369009,,,initial_final,6821156689816365,0,,,,0,16332,replay,1,0,6821156689819535,initial,16332,0,2,6821156690143341,x-dcaf0ba84bef406c,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,-1,6821154619063619,True,0,0
10000.0,16128,serial_crossover,6821163556417098,,,initial_final,6821163556197990,0,,6821162157563711,6821162874951647,792723456,16332,kv_transfer,1,0,6821163556199910,initial,204,819,2,6821163556326389,x-795ce6f2f59e9b30,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,-1,6821162130299658,True,792723456,792724275
10000.0,3840,serial_crossover,6821169000364846,,,initial_final,6821169000269177,0,,6821167781587478,6821167992315365,188743680,4046,kv_transfer,1,0,6821169000270587,initial,206,195,1,6821169000327356,x-d098a09d848cf480,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,-1,6821167770680189,True,188743680,188743875
10000.0,0,serial_crossover,6821174460657148,,,initial_final,6821174460522619,0,,,,0,4046,replay,1,0,6821174460529129,initial,4046,0,1,6821174460615118,x-4c86a64f6d12d09a,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,-1,6821173379913666,True,0,0
10000.0,7936,serial_crossover,6821179805220560,,,initial_final,6821179805083811,0,,6821178816396324,6821179197382514,390070272,8144,kv_transfer,1,0,6821179805085151,initial,208,403,1,6821179805168110,x-f498110694eaef73,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,train,-1,6821178793740184,True,390070272,390070675
10000.0,0,serial_crossover,6821185180693458,,,initial_final,6821185180366971,0,,,,0,8144,replay,1,0,6821185180369341,initial,8144,0,1,6821185180563489,x-8f3022f3b0b7fe54,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,train,-1,6821184056803844,True,0,0
10000.0,24320,serial_crossover,6821193901253738,,,initial_final,6821193900915922,0,,6821192078434184,6821193130167521,1195376640,24526,kv_transfer,1,0,6821193900917702,initial,206,1235,0,6821193901109810,x-a7712660a716d710,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,-1,6821192045024893,True,1195376640,1195377875
10000.0,0,serial_crossover,6821204502217169,,,initial_final,6821204501472316,0,,,,0,24526,replay,1,0,6821204501480886,initial,24526,0,0,6821204501881722,x-5fc7aada2183be6b,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,-1,6821201121756356,True,0,0
10000.0,0,serial_crossover,6821209135281988,,,initial_final,6821209135187669,0,,,,0,1999,replay,1,0,6821209135189269,initial,1999,0,1,6821209135252238,x-a7cdd50d5cecebaa,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,train,-1,6821208437880682,True,0,0
10000.0,1792,serial_crossover,6821213659009848,,,initial_final,6821213658926409,0,,6821208649403713,6821212940437677,88080384,1999,kv_transfer,1,0,6821213658927759,initial,207,91,1,6821213658979128,x-fdf768c13df77c7b,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,train,-1,6821212817102500,True,88080384,88080475
