context_size,bandwidth_mbps,method,migration_median_s,migration_min_s,migration_max_s,energy_median_j,energy_min_j,energy_max_j,timing_winner,energy_winner
2048,1000.0,kv_transfer,1.394916275,1.32109802,1.46755365,30.28572563737004,18.98211784069,36.99290032915004,False,False
2048,1000.0,replay,0.717383718,0.675213069,0.758509717,21.44601820828002,12.787319986330012,93.35905484998004,True,True
2048,2500.0,kv_transfer,0.91540045,0.915376485,0.969952067,25.284906086610007,21.578281258380034,27.943901737340013,False,False
2048,2500.0,replay,0.696306895,0.654587092,0.706804542,24.54766779002003,23.515859302380004,25.176798935159987,True,True
2048,5000.0,kv_transfer,0.849270172,0.807231823,0.924836099,30.047556371980008,25.90259277813,42.99376615770001,False,True
2048,5000.0,replay,0.702049894,0.650105186,0.7127988,95.63350752082,12.197729202480009,101.28251244544003,True,False
2048,10000.0,kv_transfer,0.814521378,0.787416034,0.841907348,20.58695027742001,16.588955932420024,35.72698996549,False,True
2048,10000.0,replay,0.697401306,0.686647549,0.722533203,26.53331484298001,26.06433676873,76.33728473595002,True,False
4096,1000.0,kv_transfer,2.17138698,2.129940518,2.18389662,26.435016137980043,24.072986444809963,27.042753839960053,False,True
4096,1000.0,replay,0.93414889,0.889027926,1.290079307,100.11713050651,87.05319335191002,105.34183765299,True,False
4096,2500.0,kv_transfer,1.320038223,1.230285779,1.536198243,24.818707930960034,19.83481985721004,30.66274897217001,False,True
4096,2500.0,replay,0.785997559,0.743407821,0.833563814,91.71075782978998,21.700026957770007,92.92632097573002,True,False
4096,5000.0,kv_transfer,0.988021898,0.924497542,1.459528916,17.666837007350008,12.56469388807001,30.19299337943001,False,True
4096,5000.0,replay,0.805059593,0.74073802,1.042673248,37.58485094043,24.87033516150001,103.16416132737002,True,False
4096,10000.0,kv_transfer,0.881647986,0.842568765,1.229684657,47.23094882473999,21.284870806950003,66.99530860793998,False,False
4096,10000.0,replay,0.820643762,0.773909913,1.080743482,39.76849057719001,23.307311508510004,44.11286839659,True,True
8192,1000.0,kv_transfer,3.903116455,3.899752034,3.903287036,23.042577373510188,12.880629629840048,33.331391967260124,False,True
8192,1000.0,replay,1.283592634,1.263119947,1.328202013,153.91659677839002,150.12337266851995,198.11703413731007,True,False
8192,2500.0,kv_transfer,1.909481792,1.905013361,2.023190675,11.174246406540046,10.898836580040012,31.576779572360003,False,True
8192,2500.0,replay,1.116183246,1.097342391,1.323168998,154.71935467536005,101.80316943122,169.99221361518002,True,False
8192,5000.0,kv_transfer,1.325885972,1.271904534,1.326920507,16.13209614114,14.304371013079994,24.79721240345,False,True
8192,5000.0,replay,1.113177607,1.096451556,1.122694992,109.45892828330996,108.59443943286,185.44161982923,True,False
8192,10000.0,kv_transfer,1.127567326,1.011480376,1.26314566,25.528743394240045,13.320762418510029,35.318569925040016,True,True
8192,10000.0,replay,1.129099999,1.123889614,1.282184516,174.91113562883,93.51741083731,181.43307928740003,False,False
16384,1000.0,kv_transfer,7.187923443,7.042872554,7.359460545,17.583071820310018,4.607012146099768,25.52258329268996,False,True
16384,1000.0,replay,2.431397912,2.125764496,2.675973826,423.17490675133,413.9032363875199,494.6592160870901,True,False
16384,2500.0,kv_transfer,3.265663395,3.242914069,3.441005695,22.112303814510053,21.456867986960035,26.91494192841013,False,True
16384,2500.0,replay,2.089152992,2.044602878,2.13117543,407.78187971735,344.02432085285,408.4255522331601,True,False
16384,5000.0,kv_transfer,2.029416919,2.018035945,2.050548203,25.19674280215003,23.569194137220016,25.35269926763003,True,True
16384,5000.0,replay,2.10465824,2.096989817,2.152012555,415.4606483553902,264.58212201561,424.5729148129603,False,False
16384,10000.0,kv_transfer,1.42611744,1.395262851,1.592196187,30.64807158224004,16.112113107750012,50.59862140243004,True,True
16384,10000.0,replay,2.10776168,2.07130539,2.127549165,395.88330434827,335.19547167467,448.30083125036,False,False
