activity,bandwidth_mbps,catch_up_new_tokens,concurrency,continuation_ttft_s,deadline_met,deadline_s,destination_added_energy_j,destination_added_power_w,destination_baseline_power_w,destination_mean_power_w,elapsed_s,initial_requests_s,initial_time_to_first_responses_s,kind,kv_network_window_s,match_id,measured_kv_payload_bytes,measured_kv_throughput_mbps,measured_kv_wire_bytes,measured_processed_tokens,measured_prompt_tokens,measured_replay_throughput_tokens_s,median_service_pause_s,method,migration_s,repeat,scenario_id,session_set,source_added_energy_j,source_added_power_w,source_baseline_power_w,source_mean_power_w,status,total_added_energy_j
none,10000.0,0,1,0.543617404,True,180,1181.5785218697404,222.26949474390074,83.21,305.4794947439007,14.383127111,5.315463927,4.746354562,migration,5.25,dff88bf91e4bc43a,0,0.0017417142857142857,1143,32720,32720,6893.711704970599,0.000504744,replay,5.315972501,0,x-2c824e02f9af796d,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,2.818712601209965,0.5302346091293231,89.85,90.38023460912932,complete,1184.3972344709503
none,10000.0,0,1,0.499238075,True,180,711.73222704263,198.6618895799072,83.21,281.8718895799072,10.519030393,3.582293987,3.03511936,migration,3.582630914,47dc28bf6c8b0ab8,0,0.0019092114605696723,855,24530,24530,8082.054473139403,0.000333667,replay,3.582630914,2,x-930d46c32aff2712,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,10.468579698660095,2.9220368913112367,89.85,92.77203689131123,complete,722.2008067412901
none,10000.0,0,1,0.525577896,True,180,15.933454746600013,7.355053491971674,83.21,90.56505349197167,8.975539618,2.166024837,1.597156251,migration,2.166327514,47dc28bf6c8b0ab8,1195376640,4414.396298896844,1195378520,210,24530,0.0,0.000300667,kv_transfer,2.166327514,2,x-293c5ba656ed6869,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,16.01501856903997,7.392704226642607,89.85,97.2427042266426,complete,31.948473315639983
none,10000.0,0,1,0.487338665,True,180,17.279345411730006,23.914949984284675,83.21,107.12494998428467,4.317911608,0.722349145,0.170196389,migration,0.334717418,ea4d423c0823f348,0,0.001505747752870154,63,1998,1998,11739.379499996325,0.000180108,replay,0.722533203,0,x-dc0385ed877caac4,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,8.784991356999994,12.158598830509376,89.85,102.00859883050937,complete,26.06433676873
none,10000.0,0,1,0.454575248,True,180,25.62244582445,31.45705750211752,83.21,114.66705750211752,4.33918791,0.814434479,0.248965419,migration,0.495775507,ea4d423c0823f348,88080384,1421.297127532361,88080538,206,1998,0.0,8.4069e-05,kv_transfer,0.814521378,0,x-b193c6d3f1e9a497,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,10.104544141039996,12.405499000960532,89.85,102.25549900096053,complete,35.72698996549
none,10000.0,0,1,0.374153456,True,180,11.497751559780008,14.601876344036967,83.21,97.81187634403696,4.108354288,0.787302865,0.279829625,migration,0.454878577,5177d80aaed6d6d1,88080384,1549.0821938620336,88080538,208,2000,0.0,0.000108679,kv_transfer,0.787416034,2,x-44812b074dfdb971,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,5.091204372640016,6.465710822241164,89.85,96.31571082224116,complete,16.588955932420024
none,10000.0,0,1,0.380793398,True,180,72.19752715572001,105.14495720674306,83.21,188.35495720674305,4.059358566,0.686561049,0.169724974,migration,0.485104484,5177d80aaed6d6d1,0,0.001038951435460242,63,2000,2000,11783.769664916843,8.321e-05,replay,0.686647549,2,x-98c4a5113231441d,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,4.139757580230011,6.028941028419823,89.85,95.87894102841982,complete,76.33728473595002
none,10000.0,0,1,0.372787829,True,180,87.69907467369002,77.67166305142298,83.21,160.88166305142298,5.042802287,1.128939541,0.643125951,migration,1.012221516,0cb36a321f02edac,0,0.002481670227606582,314,8141,8141,12658.484683041503,0.000155748,replay,1.129099999,0,x-9cb03a900250ff25,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,5.818336163619991,5.153074279313671,89.85,95.00307427931367,complete,93.51741083731001
none,10000.0,0,1,0.361797802,True,180,29.42254471337002,26.0938252066467,83.21,109.30382520664669,4.989475759,1.127418007,0.638437269,migration,0.926617467,0cb36a321f02edac,390070272,3367.6978290762136,390070954,205,8141,0.0,0.000147739,kv_transfer,1.127567326,0,x-86282ab9f8bf9fa3,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,5.896025211669994,5.22897841726747,89.85,95.07897841726746,complete,35.318569925040016
none,10000.0,0,1,0.44951264,True,180,331.5179714591,160.05267647138214,83.21,243.26267647138215,7.241523621,2.070752746,1.586019664,migration,2.07130539,53965cdf725268e9,0,0.00218992333139248,567,16332,16332,10297.476362184625,0.000549474,replay,2.07130539,2,x-dcaf0ba84bef406c,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,3.677500215570001,1.7754505121864241,89.85,91.62545051218642,complete,335.19547167467
