activity,activity_output_tokens,activity_overlapped_initial_copy,activity_s,bandwidth_mbps,campaign,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_kv_throughput_mbps,catch_up_kv_wire_bytes,catch_up_network_window_s,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,copy_policy,current_model_time_s,idle_ns,initial_end_ns,initial_kv_throughput_mbps,initial_kv_wire_bytes,initial_network_window_s,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_activity_append_tokens,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,move_concurrency,order,pause_start_ns,repeat,request_wait_s,requested_activity_tokens,route_switch_s,scenario_id,service_pause_s,serving_concurrency,session_id,split,success,switch_end_ns,switch_start_ns
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,,6821100023052343,6821100022759116,0.0017417142857142857,1143,5.25,5.312465097,0.56661449,6821094707295189,4.745850607,0.002494875,coding,dff88bf91e4bc43a,0,0,0,32720,32720,replay,1,0,6821100022762946,0,0.000289397,0,0.000214847,x-2c824e02f9af796d,0.000504744,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,True,6821100023267690,6821100023052843
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,6.523526822896729,6821110917200005,6821110916996617,0.0019093910284365505,855,3.582293987,3.580050181,0.545362196,6821107334702630,3.034687985,0.001812431,coding,47dc28bf6c8b0ab8,0,0,0,24530,24530,replay,1,0,6821110916999877,2,0.000200128,0,0.000132879,x-930d46c32aff2712,0.000333667,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,validation,True,6821110917333544,6821110917200665
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,3.340657640792797,6821120207206566,6821120207036088,4415.013159888341,1195378520,2.166024837,0.728013448,0.555152715,6821118041011251,0.172860733,0.013715871,coding,47dc28bf6c8b0ab8,0,1195376640,95,210,24530,kv_transfer,1,0,6821120207038098,2,0.000168468,0,0.000131519,x-293c5ba656ed6869,0.000300667,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,validation,True,6821120207338765,6821120207207246
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,,6821124887754426,6821124887631727,0.001505747752870154,63,0.334717418,0.71995755,0.550130407,6821124165282582,0.169827143,0.002022349,coding,ea4d423c0823f348,0,0,0,1998,1998,replay,1,0,6821124887635677,0,0.000118749,0,6.0129e-05,x-dc0385ed877caac4,0.000180108,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,6821124887815785,6821124887755656
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,,6821129568718432,6821129568658972,1421.297127532361,88080538,0.495775507,0.632209442,0.553066536,6821128754224493,0.079142906,0.012402524,coding,ea4d423c0823f348,0,88080384,7,206,1998,kv_transfer,1,0,6821129568661802,0,5.663e-05,0,2.6419e-05,x-b193c6d3f1e9a497,8.4069e-05,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,6821129568745871,6821129568719452
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,,6821134082507317,6821134082424288,1549.0821938620336,88080538,0.454878577,0.605455794,0.495373943,6821133295121423,0.110081851,0.012099297,coding,5177d80aaed6d6d1,0,88080384,7,208,2000,kv_transfer,1,0,6821134082428778,2,7.8539e-05,0,2.851e-05,x-44812b074dfdb971,0.000108679,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,True,6821134082537457,6821134082508947
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,,6821138451515785,6821138451456565,0.001038951435460242,63,0.485104484,0.684693528,0.515180352,6821137764895516,0.169513176,0.001655723,coding,5177d80aaed6d6d1,0,0,0,2000,2000,replay,1,0,6821138451459855,2,5.593e-05,0,2.649e-05,x-98c4a5113231441d,8.321e-05,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,True,6821138451543065,6821138451516575
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.132620120399743,6821143866819544,6821143866718025,0.002481670227606582,314,1.012221516,1.126814223,0.483950469,6821142737778484,0.642863754,0.001863121,coding,0cb36a321f02edac,0,0,0,8141,8141,replay,1,0,6821143866722735,0,9.6809e-05,0,5.8269e-05,x-9cb03a900250ff25,0.000155748,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,6821143866878483,6821143866820214
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.04340264943765,6821149200896379,6821149200800540,3367.6978290762136,390070954,0.926617467,0.576658007,0.476931001,6821148073382533,0.099727006,0.012049737,coding,0cb36a321f02edac,0,390070272,31,205,8141,kv_transfer,1,0,6821149200802120,0,9.4259e-05,0,5.303e-05,x-86282ab9f8bf9fa3,0.000147739,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,6821149200949859,6821149200896829
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,3.8880480118175313,6821156690142521,6821156689816365,0.0021905077797250445,567,2.070752746,2.067752606,0.482359346,6821154619063619,1.58539326,0.002373736,coding,53965cdf725268e9,0,0,0,16332,16332,replay,1,0,6821156689819535,2,0.000322986,0,0.000225668,x-dcaf0ba84bef406c,0.000549474,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,True,6821156690369009,6821156690143341
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,2.6920301451152233,6821163556325749,6821163556197990,4447.581285199231,792724842,1.425898332,0.618688619,0.479263507,6821162130299658,0.139425112,0.011398854,coding,53965cdf725268e9,0,792723456,63,204,16332,kv_transfer,1,0,6821163556199910,2,0.000125839,0,9.0709e-05,x-795ce6f2f59e9b30,0.000217188,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,True,6821163556417098,6821163556326389
none,0,False,0.0,10000.0,serial_crossover,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,1.7190889015988629,6821169000326746,6821169000269177,3150.197520210572,188744010,0.479319811,0.932589278,0.768731194,6821167770680189,0.163858084,0.025786588,coding,5bb27f1a108b87da,0,188743680,15,206,4046,kv_transfer,1,0,6821169000270587,1,5.6159e-05,0,3.749e-05,x-d098a09d848cf480,9.4259e-05,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,6821169000364846,6821169000327356
