job_id|job_name|state|elapsed|exit_code|node_list
36798592|qh-crossover|COMPLETED|00:43:37|0:0|sh03-11n16
36798592.batch|batch|COMPLETED|00:43:37|0:0|sh03-11n16
36798592.extern|extern|COMPLETED|00:43:39|0:0|sh03-11n16
