campaign,end_ns,first_response_ns,output_tokens,prompt_tokens,request_index,retained_growth_tokens,route,scenario_id,schedule_delay_s,scheduled_ns,service_s,serving_concurrency,session_id,split,start_ns,success,ttft_s
serial_crossover,6821100756371804,6821100568460878,28,32723,continuation,0,destination,x-2c824e02f9af796d,,,0.73152833,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,6821100024843474,True,0.543617404
serial_crossover,6821111593824914,6821111417961465,28,24533,continuation,0,destination,x-930d46c32aff2712,,,0.675101524,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,validation,6821110918723390,True,0.499238075
serial_crossover,6821120913231417,6821120734230567,28,24533,continuation,0,destination,x-293c5ba656ed6869,,,0.704578746,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,validation,6821120208652671,True,0.525577896
serial_crossover,6821125553260569,6821125375763194,28,2001,continuation,0,destination,x-dc0385ed877caac4,,,0.66483604,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821124888424529,True,0.487338665
serial_crossover,6821130215145039,6821130023605836,26,2001,continuation,0,destination,x-b193c6d3f1e9a497,,,0.646114451,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821129569030588,True,0.454575248
serial_crossover,6821134640527373,6821134457182738,23,2003,continuation,0,destination,x-44812b074dfdb971,,,0.557498091,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,6821134083029282,True,0.374153456
serial_crossover,6821139018345531,6821138832862597,23,2003,continuation,0,destination,x-98c4a5113231441d,,,0.566276332,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,6821138452069199,True,0.380793398
serial_crossover,6821144385070175,6821144240430295,20,8144,continuation,0,destination,x-9cb03a900250ff25,,,0.517427709,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,6821143867642466,True,0.372787829
serial_crossover,6821149698255652,6821149563370484,20,8144,continuation,0,destination,x-86282ab9f8bf9fa3,,,0.49668297,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,6821149201572682,True,0.361797802
serial_crossover,6821157277435710,6821157140948278,23,16335,continuation,0,destination,x-dcaf0ba84bef406c,,,0.586000072,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,6821156691435638,True,0.44951264
serial_crossover,6821164148822495,6821164009796588,23,16335,continuation,0,destination,x-795ce6f2f59e9b30,,,0.591926242,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,6821163556896253,True,0.452900335
serial_crossover,6821169805061874,6821169625904206,34,4049,continuation,0,destination,x-d098a09d848cf480,,,0.803999535,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821169001062339,True,0.624841867
serial_crossover,6821175054376421,6821174870066975,24,4049,continuation,0,destination,x-4c86a64f6d12d09a,,,0.593215678,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821174461160743,True,0.408906232
serial_crossover,6821180333425144,6821180155149875,22,8147,continuation,0,destination,x-f498110694eaef73,,,0.527544241,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,train,6821179805880903,True,0.349268972
serial_crossover,6821185717629284,6821185538863400,22,8147,continuation,0,destination,x-8f3022f3b0b7fe54,,,0.536262093,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,train,6821185181367191,True,0.357496209
serial_crossover,6821194602538345,6821194421485834,28,24529,continuation,0,destination,x-a7712660a716d710,,,0.69995159,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821193902586755,True,0.518899079
serial_crossover,6821205188760425,6821205008545645,28,24529,continuation,0,destination,x-5fc7aada2183be6b,,,0.685454988,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821204503305437,True,0.505240208
serial_crossover,6821209684184013,6821209505724425,23,2002,continuation,0,destination,x-a7cdd50d5cecebaa,,,0.548591838,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,train,6821209135592175,True,0.37013225
serial_crossover,6821214197066613,6821214021503986,23,2002,continuation,0,destination,x-fdf768c13df77c7b,,,0.537785768,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,train,6821213659280845,True,0.362223141
serial_crossover,6821221849542962,6821221669309853,26,16339,continuation,0,destination,x-3bcb3d0272237088,,,0.643195997,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,6821221206346965,True,0.462962888
serial_crossover,6821228915071384,6821228737116011,25,16339,continuation,0,destination,x-1da234fbd87c5433,,,0.602738798,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,6821228312332586,True,0.424783425
serial_crossover,6821240109656874,6821239930991369,28,32723,continuation,0,destination,x-29d3c436c5dd0302,,,0.701224267,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,6821239408432607,True,0.522558762
serial_crossover,6821247050565615,6821246873494016,25,16341,continuation,0,destination,x-006c0864ed23e91b,,,0.609555986,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,train,6821246441009629,True,0.432484387
serial_crossover,6821254730350002,6821254554893087,25,16341,continuation,0,destination,x-98a634537693f07a,,,0.590195441,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,train,6821254140154561,True,0.414738526
serial_crossover,6821263492786041,6821263359839775,25,24522,continuation,0,destination,x-99d19d693617b778,,,0.606938442,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,6821262885847599,True,0.473992176
serial_crossover,6821273888279195,6821273755373409,25,24522,continuation,0,destination,x-472ddc08c0dcdb92,,,0.606514966,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,6821273281764229,True,0.47360918
serial_crossover,6821285066730632,6821284891018249,25,32721,continuation,0,destination,x-25d4bfbe3e9ed055,,,0.639285436,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821284427445196,True,0.463573053
serial_crossover,6821299274857570,6821299096343765,25,32721,continuation,0,destination,x-543643027323729c,,,0.616293958,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821298658563612,True,0.437780153
serial_crossover,6821303980657942,6821303844542149,23,4047,continuation,0,destination,x-9bc10afd2aea6e9f,,,0.549199196,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,6821303431458746,True,0.413083403
serial_crossover,6821308633162627,6821308501723448,23,4047,continuation,0,destination,x-7233364f85989294,,,0.541350707,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,validation,6821308091811920,True,0.409911528
serial_crossover,6821470532667767,6821470356292324,22,8147,continuation,0,destination,x-2d9b0d66826ec64a,,,0.566727356,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,6821469965940411,True,0.390351913
serial_crossover,6821476061433207,6821475871382694,22,8147,continuation,0,destination,x-7be2123c1d292312,,,0.566934783,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,validation,6821475494498424,True,0.37688427
serial_crossover,6821490091885289,6821489911857973,28,32723,continuation,0,destination,x-d19c20b9e9902a07,,,0.690199018,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,validation,6821489401686271,True,0.510171702
serial_crossover,6821501513060785,6821501323598125,28,32723,continuation,0,destination,x-b8a85abb6325d9d6,,,0.713861767,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,validation,6821500799199018,True,0.524399107
serial_crossover,6821506605514228,6821506472202012,26,4048,continuation,0,destination,x-0f5752033471c0e7,,,0.619302222,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,6821505986212006,True,0.485990006
serial_crossover,6821511228190600,6821511095067572,24,4048,continuation,0,destination,x-4f346e58a344a5f4,,,0.568527589,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,6821510659663011,True,0.435404561
serial_crossover,6821677662098353,6821677485214312,34,4049,continuation,0,destination,x-13edec0f931d62f4,,,0.782735546,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821676879362807,True,0.605851505
serial_crossover,6821683006209058,6821682828527325,34,4049,continuation,0,destination,x-f666e088442baafa,,,0.78536805,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,6821682220841008,True,0.607686317
