phase,gpu,samples,power_mean_w
baseline,0,479,358.3146137787056
baseline,1,479,83.98730688935281
drain,0,181,334.16651933701655
drain,1,181,181.61895027624308
post,0,479,217.09118997912316
post,1,479,176.2365344467641
