commit_100_s,commit_50_s,commit_90_s,completed_migrations,condition,context_profile,deadline_s,episode,match_id,matched_control_complete,planned_migrations,policy,readiness_100_s,readiness_50_s,readiness_90_s,required_deadline_s,sample_id,scenario_id,status,token_distribution
10.537204053,5.052800326,10.537204053,8,interactive_coding-uniform_support-30s,interactive_coding,180,5,f922724db4402b65,False,8,queue_haul,10.378708226,4.853626549,10.378708226,30,12bbd4d8a68c7a76,p-4d3c38b728e50503,complete,uniform_support
12.295009705,6.451215111,12.295009705,8,interactive_coding-uniform_support-30s,interactive_coding,180,5,f922724db4402b65,True,8,kv_only,12.128683217,6.237327742,12.128683217,30,12bbd4d8a68c7a76,p-d9cb22596b3c04fe,complete,uniform_support
34.022416577,33.627824954,34.022416577,8,interactive_coding-uniform_support-30s,interactive_coding,180,5,f922724db4402b65,True,8,replay_only,33.835499215,33.55425149,33.835499215,30,12bbd4d8a68c7a76,p-fc6fb1ff926de375,complete,uniform_support
11.661359671,6.053060999,11.661359671,8,interactive_coding-uniform_support-30s,interactive_coding,180,5,f922724db4402b65,True,8,greedy,11.417490608,5.842279342,11.417490608,30,12bbd4d8a68c7a76,p-0e087ec4485c036c,complete,uniform_support
10.948051429,5.664731309,10.948051429,8,agentic_tool_loop-uniform_support-30s,agentic_tool_loop,180,9,765b6f6272501035,True,8,greedy,10.662988504,5.433530142,10.662988504,30,fbca66996303bcd2,p-4f27a9c152bda0f6,complete,uniform_support
12.787314129,4.393473715,12.787314129,8,agentic_tool_loop-uniform_support-30s,agentic_tool_loop,180,9,765b6f6272501035,True,8,queue_haul,12.513039588,4.045966018,12.513039588,30,fbca66996303bcd2,p-31baf1339507b7ea,complete,uniform_support
10.955597892,5.547343499,10.955597892,8,agentic_tool_loop-uniform_support-30s,agentic_tool_loop,180,9,765b6f6272501035,True,8,kv_only,10.579383794,5.280211744,10.579383794,30,fbca66996303bcd2,p-bb8992179bd76429,complete,uniform_support
38.290896594,37.897407131,38.290896594,8,agentic_tool_loop-uniform_support-30s,agentic_tool_loop,180,9,765b6f6272501035,True,8,replay_only,38.051608298,37.747346563,38.051608298,30,fbca66996303bcd2,p-c307f2c08cb19fec,complete,uniform_support
11.154145126,8.171289003,11.154145126,8,interactive_coding-uniform_range-30s,interactive_coding,180,6,2d6da3e5b39b6250,True,8,queue_haul,10.825380697,7.432046386,10.825380697,30,ceab62a75d29eaed,p-70b318c6d0521a96,complete,uniform_range
36.852443904,36.572579216,36.852443904,8,interactive_coding-uniform_range-30s,interactive_coding,180,6,2d6da3e5b39b6250,True,8,replay_only,36.711576979,36.381560813,36.711576979,30,ceab62a75d29eaed,p-a003e249d160ed57,complete,uniform_range
10.787509888,6.327770803,10.787509888,8,interactive_coding-uniform_range-30s,interactive_coding,180,6,2d6da3e5b39b6250,True,8,kv_only,10.44173659,5.79115839,10.44173659,30,ceab62a75d29eaed,p-dd58ce4cb4ae213f,complete,uniform_range
9.671135645,7.093505431,9.671135645,8,interactive_coding-uniform_range-30s,interactive_coding,180,6,2d6da3e5b39b6250,True,8,greedy,9.294103463,5.794030694,9.294103463,30,ceab62a75d29eaed,p-bf78bc4565fd4891,complete,uniform_range
10.612200426,5.050387614,10.612200426,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,11,f9797b2e87533db2,True,8,queue_haul,10.230799751,4.665912103,10.230799751,30,12e460fd04d32178,p-91880e9d32a61073,complete,uniform_range
31.016301398,30.681766676,31.016301398,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,11,f9797b2e87533db2,True,8,replay_only,30.831592316,30.458186197,30.831592316,30,12e460fd04d32178,p-0cc93a378b65b337,complete,uniform_range
10.080170804,5.62759392,10.080170804,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,11,f9797b2e87533db2,True,8,kv_only,9.669856761,5.075986906,9.669856761,30,12e460fd04d32178,p-f85cef5ae458d796,complete,uniform_range
10.176407842,7.494726865,10.176407842,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,11,f9797b2e87533db2,True,8,greedy,9.66629712,5.906557406,9.66629712,30,12e460fd04d32178,p-f868724bdacdb7ec,complete,uniform_range
10.399114595,5.571539899,10.399114595,8,interactive_coding-uniform_support-30s,interactive_coding,180,4,2618e45118dd9025,True,8,queue_haul,9.936136535,5.102915521,9.936136535,30,b6b9fa8177297080,p-aaea68ad577be36c,complete,uniform_support
29.411569958,28.982096562,29.411569958,8,interactive_coding-uniform_support-30s,interactive_coding,180,4,2618e45118dd9025,True,8,replay_only,29.230133259,28.844307722,29.230133259,30,b6b9fa8177297080,p-1b6193f013241c65,complete,uniform_support
11.45592237,7.026573525,11.45592237,8,interactive_coding-uniform_support-30s,interactive_coding,180,4,2618e45118dd9025,True,8,kv_only,10.910226382,6.367674053,10.910226382,30,b6b9fa8177297080,p-7399da4a6bba57ca,complete,uniform_support
10.72738678,7.697950058,10.72738678,8,interactive_coding-uniform_support-30s,interactive_coding,180,4,2618e45118dd9025,True,8,greedy,10.164851497,5.814705294,10.164851497,30,b6b9fa8177297080,p-78dc3f674ac4f7d7,complete,uniform_support
10.300870789,8.442987843,10.300870789,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,10,9946418ff6581b03,True,8,greedy,9.47797874,6.084530017,9.47797874,30,e6db774a16eb5652,p-0c3590a1fc2598b9,complete,uniform_range
25.574325265,25.268914155,25.574325265,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,10,9946418ff6581b03,True,8,replay_only,25.430108029,25.121116055,25.430108029,30,e6db774a16eb5652,p-89d916fb8fa17038,complete,uniform_range
11.45604222,6.535623786,11.45604222,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,10,9946418ff6581b03,True,8,queue_haul,10.850476605,5.742090837,10.850476605,30,e6db774a16eb5652,p-c94f367b3decca7b,complete,uniform_range
11.860243789,6.195368825,11.860243789,8,agentic_tool_loop-uniform_range-30s,agentic_tool_loop,180,10,9946418ff6581b03,True,8,kv_only,11.23449802,5.583188035,11.23449802,30,e6db774a16eb5652,p-1cb47290a1e68ed7,complete,uniform_range
15.922977391,14.381762216,15.922977391,8,coding-uniform_support-30s,coding,180,0,aa16a6f9f0b3e011,True,8,greedy,13.118804142,13.050326905,13.118804142,30,fbfdd96ba8b56249,p-809cb4926c5cf6d4,complete,uniform_support
10.817211794,10.106017552,10.817211794,8,coding-uniform_support-30s,coding,180,0,aa16a6f9f0b3e011,True,8,queue_haul,10.604021448,9.759083838,10.604021448,30,fbfdd96ba8b56249,p-ad311f4ac17d8f1c,complete,uniform_support
36.036249658,35.635269592,36.036249658,8,coding-uniform_support-30s,coding,180,0,aa16a6f9f0b3e011,True,8,replay_only,35.814611067,35.401878425,35.814611067,30,fbfdd96ba8b56249,p-852145ebc5a3b102,complete,uniform_support
11.590319055,6.7927621,11.590319055,8,coding-uniform_support-30s,coding,180,0,aa16a6f9f0b3e011,True,8,kv_only,11.377841189,6.527538063,11.377841189,30,fbfdd96ba8b56249,p-4dc906bf3700fbe4,complete,uniform_support
13.442890958,13.065338719,13.442890958,8,coding-uniform_support-30s,coding,180,1,fe86e8d6708b9b47,True,8,greedy,12.810694518,12.742288658,12.810694518,30,87fe432b3062581d,p-db7fc985557c5b66,complete,uniform_support
11.359718072,9.617806015,11.359718072,8,coding-uniform_support-30s,coding,180,1,fe86e8d6708b9b47,True,8,queue_haul,11.068161188,9.017695296,11.068161188,30,87fe432b3062581d,p-2f855aad4365b07a,complete,uniform_support
11.890038022,6.966305705,11.890038022,8,coding-uniform_support-30s,coding,180,1,fe86e8d6708b9b47,True,8,kv_only,11.570699175,6.632012761,11.570699175,30,87fe432b3062581d,p-0ec7ab5002860555,complete,uniform_support
33.34578233,33.00345423,33.34578233,8,coding-uniform_support-30s,coding,180,1,fe86e8d6708b9b47,True,8,replay_only,33.159634361,32.819113472,33.159634361,30,87fe432b3062581d,p-7c455aab5aecb3fe,complete,uniform_support
29.298100271,28.909187284,29.298100271,8,interactive_coding-uniform_range-30s,interactive_coding,180,7,85ad2d7650d53940,True,8,replay_only,29.109314078,28.720463911,29.109314078,30,345cb77e6948c06c,p-70ceb509b7758517,complete,uniform_range
10.200991926,5.283158714,10.200991926,8,interactive_coding-uniform_range-30s,interactive_coding,180,7,85ad2d7650d53940,True,8,queue_haul,9.824699688,4.932000108,9.824699688,30,345cb77e6948c06c,p-9daab25f6e6d69d5,complete,uniform_range
10.484449783,5.647979415,10.484449783,8,interactive_coding-uniform_range-30s,interactive_coding,180,7,85ad2d7650d53940,True,8,kv_only,10.132214579,5.207692084,10.132214579,30,345cb77e6948c06c,p-e0c544ca36317d93,complete,uniform_range
9.327837572,8.03262741,9.327837572,8,interactive_coding-uniform_range-30s,interactive_coding,180,7,85ad2d7650d53940,True,8,greedy,8.952144506,6.626238623,8.952144506,30,345cb77e6948c06c,p-9bf23501789bb8c6,complete,uniform_range
