phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,135.24104602510457
baseline,1,239,239,1.0,82.89870292887026
drain,0,45,45,1.0,100.61622222222219
drain,1,45,45,1.0,263.7771111111111
post,0,239,239,1.0,125.16079497907953
post,1,239,239,1.0,91.22125523012551
