kv_bytes_per_token,link_bps,crossover_bps_seattle,link_above_crossover,policy,total_cost_s,cost_weighted_duplication_factor,gap_robust,gap_abs_s
10000,5e+09,3.6e+09,True,request_level_with_site_cache,0.140605333,1,True,1.59739467
10000,5e+09,3.6e+09,True,shared_state_aware,1.738,1,True,1.59739467
10000,2.5e+10,3.6e+09,True,request_level_with_site_cache,0.112547733,1,True,0.345452267
10000,2.5e+10,3.6e+09,True,shared_state_aware,0.458,1,True,0.345452267
10000,1e+11,3.6e+09,True,request_level_with_site_cache,0.107286933,1,True,0.0560250667
10000,1e+11,3.6e+09,True,shared_state_aware,0.163312,1,True,0.0560250667
70656,5e+09,2.54362e+10,False,request_level_with_site_cache,0.154244444,1,True,1.58375556
70656,5e+09,2.54362e+10,False,shared_state_aware,1.738,1,True,1.58375556
70656,2.5e+10,2.54362e+10,False,request_level_with_site_cache,0.154244444,1,True,0.303755556
70656,2.5e+10,2.54362e+10,False,shared_state_aware,0.458,1,True,0.303755556
70656,1e+11,2.54362e+10,True,request_level_with_site_cache,0.117923569,1,True,0.0654776977
70656,1e+11,2.54362e+10,True,shared_state_aware,0.183401267,1,True,0.0654776977
327680,5e+09,1.17965e+11,False,request_level_with_site_cache,0.154244444,1,True,1.58375556
327680,5e+09,1.17965e+11,False,shared_state_aware,1.738,1,True,1.58375556
327680,2.5e+10,1.17965e+11,False,request_level_with_site_cache,0.154244444,1,True,0.303755556
327680,2.5e+10,1.17965e+11,False,shared_state_aware,0.458,1,True,0.303755556
327680,1e+11,1.17965e+11,False,request_level_with_site_cache,0.154244444,1,True,0.0637555556
327680,1e+11,1.17965e+11,False,shared_state_aware,0.218,1,True,0.0637555556
