activity,bandwidth_mbps,catch_up_new_tokens,concurrency,continuation_difference_s,continuation_ttft_s,deadline_met,deadline_s,destination_added_energy_j,destination_added_power_w,destination_baseline_power_w,destination_mean_power_w,elapsed_s,initial_requests_s,initial_time_to_first_responses_s,kind,kv_network_window_s,match_id,measured_kv_payload_bytes,measured_kv_throughput_mbps,measured_kv_wire_bytes,measured_processed_tokens,measured_prompt_tokens,measured_replay_throughput_tokens_s,median_service_pause_s,method,migration_s,repeat,scenario_id,session_set,source_added_energy_j,source_added_power_w,source_baseline_power_w,source_mean_power_w,status,total_added_energy_j
none,1000.0,0,1,-0.076196123,0.779246919,True,300,3017.5412178902347,217.89062500000003,82.78,300.67062500000003,32.675465029,13.848575188,12.592866116,migration,4.0,892b8fc3ea5c88ca,0,0.000288,144,64442,64442,5117.341787515912,0.00035709649999999995,replay,13.848880455,0,m-892b8fc3ea5c88ca,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",26.090713740534657,1.8839583333333536,89.85,91.73395833333335,complete,3043.6319316307695
one_turn,250.0,0,4,,0.8253578765,True,300,,,,,20.780826071,0.0,0.0,control,0.0,524782a9e7d160f2,0,0.0,0,0,0,0.0,0.0,replay,0.0,1,c-524782a9e7d160f2,"claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa",,,,,complete,
none,10000.0,0,1,,0.9517333145,True,300,,,,,18.862755083,0.0,0.0,control,0.0,f40d80745fdf478f,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,1,c-f40d80745fdf478f,"claude:eaad8d63-63bf-7139-f930-0ef47fa45253,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa",,,,,complete,
one_turn,250.0,131,2,0.6311133185,1.401173788,True,300,580.0292254164748,4.784593967517395,82.78,87.5645939675174,144.931820187,120.030849979,118.341582524,migration,125.75,674a3493fabd87f3,3572711424,227.29306745129225,3572762904,0,72687,0.0,1.0323418905000001,kv_transfer,121.228515806,2,m-674a3493fabd87f3,"claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,claude:eaad8d63-63bf-7139-f930-0ef47fa45253",269.5885922492319,2.223805104408356,89.85,92.07380510440835,complete,849.6178176657068
none,1000.0,0,4,-0.56689106,0.847310366,True,300,161.14176713784076,6.006354166666668,82.78,88.78635416666667,46.889231562,26.828238974,24.753363677,migration,31.0,f0af44ebf52739a9,3048652800,786.758177032258,3048687936,0,62025,0.0,0.0003887715,kv_transfer,26.828549011,0,m-f0af44ebf52739a9,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",33.3316775056459,1.2423958333333474,89.85,91.09239583333334,complete,194.47344464348666
one_turn,10000.0,132,1,0.15877683399999998,1.0715151365,True,300,3258.293126601894,181.85174603174605,82.78,264.63174603174605,37.982360415,16.653277453,15.866394346,migration,4.25,1c2d022bd3d66b47,0,0.01768658823529412,9396,66158,66158,4169.693413467867,0.9834931204999999,replay,17.917304605,2,m-1c2d022bd3d66b47,"codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:92cc24b6-ac8d-5231-bb2d-33b876557766",248.31393370907242,13.858888888888899,89.85,103.7088888888889,complete,3506.6070603109665
none,250.0,0,2,-0.8161350055000001,0.834308869,True,300,2909.6354474741242,232.12499999999997,82.78,314.905,32.489689346,12.534477543,10.41889491,migration,4.25,0a70f06272fce22d,0,0.0002710588235294118,144,62126,62126,5962.820484960625,0.000255522,replay,12.534778449,1,m-0a70f06272fce22d,"claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb",35.10592609705172,2.800681818181829,89.85,92.65068181818182,complete,2944.741373571176
one_turn,250.0,135,4,0.44445977999999986,1.5541322924999998,True,300,2132.3519966488752,223.0285294117647,82.78,305.8085294117647,27.071663456,8.288023065,6.897840551,migration,4.25,799e45202129f9c6,0,0.013078588235294118,6948,48726,48726,7063.949889786311,1.27533926,replay,9.560893408,1,m-799e45202129f9c6,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e",178.43439126800948,18.662941176470596,89.85,108.51294117647059,complete,2310.786387916885
one_turn,250.0,0,2,,1.1407327115,True,300,,,,,25.46812143,0.0,0.0,control,0.0,d7be652c7a55c9e0,0,0.0,0,0,0,0.0,0.0,replay,0.0,0,c-d7be652c7a55c9e0,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",,,,,complete,
none,10000.0,0,1,,1.2792880705,True,300,,,,,21.348661115,0.0,0.0,control,0.0,bb9ba0a2a291fa6a,0,0.0,0,0,0,0.0,0.0,replay,0.0,2,c-bb9ba0a2a291fa6a,"codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:92cc24b6-ac8d-5231-bb2d-33b876557766",,,,,complete,
