activity,bandwidth_mbps,catch_up_end_ns,catch_up_s,catch_up_start_ns,concurrency,context_size,idle_ns,initial_copy_s,initial_end_ns,initial_start_ns,job_class,logical_kv_bytes,logical_kv_chunks,match_id,method,order,pause_start_ns,processed_tokens,repeat,request_wait_s,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
none,250.0,,0.0,,1,16384,5563964738555232,27.598757864,5563964738329545,5563937139571681,coding,780386304,63,c50b5f074a57beea,kv_transfer,3,5563964738329645,0,1,0.000225587,9.5759e-05,m-c50b5f074a57beea,0.000321716,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5563964738651361,5563964738555602
one_turn,10000.0,5564019080549479,9.064656244,5564010015893235,4,16384,5564010015892885,16.792287308,5564009959868853,5563993167581545,coding,1258536960,101,4d5f3ab0aa1e5db3,kv_transfer,0,5564009959869023,36,2,0.056023862,0.000137918,m-4d5f3ab0aa1e5db3,9.120818494,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5564019080687517,5564019080549599
one_turn,10000.0,5564018466402007,8.506994179,5564009959407828,4,16384,5564009959407478,16.667894917,5564009837815646,5563993169920729,coding,2115993600,169,4d5f3ab0aa1e5db3,kv_transfer,1,5564009837816296,73,2,0.121591182,0.005307824,m-4d5f3ab0aa1e5db3,8.633893755,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5564018471710051,5564018466402227
one_turn,10000.0,5564018212836815,7.903785158,5564010309051657,4,16384,5564010309051297,17.13707428,5564010308845689,5563993171771409,coding,1947402240,155,4d5f3ab0aa1e5db3,kv_transfer,2,5564010308845779,231,2,0.000205518,0.051332392,m-4d5f3ab0aa1e5db3,7.955323928,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5564018264169707,5564018212837315
one_turn,10000.0,5564018636588733,8.59462048,5564010041968253,4,16384,5564010041967953,16.816504635,5564009989794458,5563993173289823,coding,1420836864,113,4d5f3ab0aa1e5db3,kv_transfer,3,5564009989794638,270,2,0.052173315,0.005226735,m-4d5f3ab0aa1e5db3,8.65202106,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564018641815698,5564018636588963
none,10000.0,,0.0,,1,2048,5564049625039261,4.331759264,5564049624882713,5564045293123449,coding,716193792,57,f1c4db6bd8f70b09,kv_transfer,0,5564049624883183,0,0,0.000156078,9.1989e-05,m-f1c4db6bd8f70b09,0.000248527,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,True,5564049625131710,5564049625039721
none,10000.0,,0.0,,1,2048,5564052907981116,3.282453039,5564052907731328,5564049625278289,coding,780386304,63,f1c4db6bd8f70b09,kv_transfer,1,5564052907731478,0,0,0.000249638,0.000109418,m-f1c4db6bd8f70b09,0.000359716,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,True,5564052908091194,5564052907981776
none,10000.0,,0.0,,1,2048,5564056470031812,3.560717921,5564056469849134,5564052909131213,coding,1059028992,85,f1c4db6bd8f70b09,kv_transfer,2,5564056469849314,0,0,0.000182498,0.000121329,m-f1c4db6bd8f70b09,0.000304127,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,True,5564056470153441,5564056470032112
none,10000.0,,0.0,,1,2048,5564059354459379,2.884056972,5564059354329821,5564056470272849,coding,629391360,51,f1c4db6bd8f70b09,kv_transfer,3,5564059354330011,0,0,0.000129368,0.001152657,m-f1c4db6bd8f70b09,0.001282375,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5564059355612386,5564059354459729
one_turn,10000.0,5564134780165977,8.037359168,5564126742806809,4,8192,5564126742806129,16.758286572,5564126721202319,5564109962915747,coding,0,0,3636d8333137a7f0,replay,0,5564126721202949,25641,2,0.02160318,0.0009391,m-3636d8333137a7f0,8.059902268,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,True,5564134781105217,5564134780166117
