method,session_id,bandwidth_mbps,measured_prompt_tokens,measured_processed_tokens,measured_kv_bytes,measured_time_s,predicted_time_s,predicted_over_measured,absolute_relative_error
replay,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,1000.0,14571,14571,0,2.108465287,2.1049387512392133,0.9983274394970929,0.0016725605029070945
replay,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,1000.0,3473,3473,0,0.251131347,0.254869888,1.0148867954744016,0.014886795474401637
replay,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,1000.0,15877,15877,0,2.429746453,2.426956826,0.9988518855551551,0.001148114444844861
replay,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,1000.0,11047,11047,0,1.342445531,1.3487820348543986,1.0047201198917013,0.004720119891701291
replay,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,250.0,14571,14571,0,2.110838617,2.1049387512392133,0.997204965972637,0.0027950340273630303
replay,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,250.0,21546,21546,0,4.112667119,4.116154226051481,1.0008478943105732,0.000847894310573194
replay,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,250.0,11047,11047,0,1.345373128,1.3487820348543986,1.0025338003141673,0.0025338003141672782
replay,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,250.0,15720,15720,0,2.390766712,2.393424554926871,1.0011117115331791,0.0011117115331791272
replay,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,250.0,12252,12252,0,1.590881053,1.5827069703234538,0.9948619146220065,0.00513808537799354
replay,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,250.0,11047,11047,0,1.345593815,1.3487820348543986,1.002369377607758,0.0023693776077580164
replay,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,250.0,13656,13656,0,1.893726293,1.8963956277678036,1.0014095673581078,0.0014095673581078216
replay,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,250.0,12805,12805,0,1.705567,1.704527292,0.9993904033086944,0.0006095966913055584
replay,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,1000.0,12805,12805,0,1.709642464,1.704527292,0.997008045771142,0.002991954228858007
replay,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1000.0,21546,21546,0,4.113495654,4.116154226051481,1.0006463048159284,0.0006463048159284224
replay,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,1000.0,17568,17568,0,2.903528833,2.901955702,0.9994582003174479,0.0005417996825520799
replay,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,1000.0,18192,18192,0,3.082157142,3.078833215,0.9989215582311799,0.0010784417688201042
replay,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,1000.0,12805,12805,0,1.711009654,1.704527292,0.9962113819844058,0.0037886180155941585
replay,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,1000.0,12252,12252,0,1.587940427,1.5827069703234538,0.9967042487315262,0.003295751268473812
replay,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,1000.0,14571,14571,0,2.105236621,2.1049387512392133,0.9998585100801424,0.00014148991985762915
replay,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,1000.0,13656,13656,0,1.89279292,1.8963956277678036,1.0019033818912444,0.0019033818912443934
replay,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,10000.0,18192,18192,0,3.079897413,3.078833215,0.9996544696600906,0.0003455303399093612
replay,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,10000.0,19908,19908,0,3.590161936,3.6050522240000005,1.0041475254502281,0.004147525450228118
replay,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,10000.0,14571,14571,0,2.105854237,2.1049387512392133,0.9995652663205736,0.000434733679426369
replay,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,10000.0,15877,15877,0,2.42522383,2.426956826,1.0007145715700805,0.00071457157008048
replay,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,10000.0,14571,14571,0,2.109582478,2.1049387512392133,0.997798746050835,0.0022012539491650385
replay,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,10000.0,13656,13656,0,1.889993054,1.8963956277678036,1.003387617618093,0.0033876176180929196
replay,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,10000.0,12252,12252,0,1.589774837,1.5827069703234538,0.9955541712498835,0.004445828750116454
replay,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,10000.0,21546,21546,0,4.118054318,4.116154226051481,0.9995385947338737,0.000461405266126258
replay,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,250.0,19908,19908,0,3.598688884,3.6050522240000005,1.0017682384349178,0.0017682384349178015
replay,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,250.0,14571,14571,0,2.104589843,2.1049387512392133,1.000165784435563,0.00016578443556292122
replay,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,250.0,21546,21546,0,4.11677795,4.116154226051481,0.9998484922052892,0.00015150779471084785
replay,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,250.0,17568,17568,0,2.907438331,2.901955702,0.9981142750504655,0.0018857249495345396
replay,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,10000.0,12805,12805,0,1.71091197,1.704527292,0.9962682603711049,0.003731739628895059
replay,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,10000.0,3473,3473,0,0.253611518,0.254869888,1.0049618014588755,0.004961801458875481
replay,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,10000.0,14571,14571,0,2.102115485,2.1049387512392133,1.0013430595318664,0.0013430595318664196
replay,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,10000.0,15720,15720,0,2.392829645,2.393424554926871,1.0002486219309905,0.00024862193099051133
kv_transfer,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,250.0,21546,0,1059028992,34.038471935,33.888927744,0.9956066126797476,0.0043933873202524065
kv_transfer,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,250.0,18192,0,894173184,28.724612935,28.613541888,0.9961332447803095,0.0038667552196904875
kv_transfer,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,250.0,17568,0,863502336,27.742038527,27.632074752,0.9960362042287204,0.003963795771279588
kv_transfer,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,250.0,19908,0,978518016,31.501858302,31.312576512,0.9939914087548295,0.006008591245170503
kv_transfer,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,1000.0,15720,0,772669440,6.29347489,6.18135552,0.9821848228586483,0.017815177141351723
kv_transfer,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,1000.0,12805,0,629391360,5.120967097,5.03513088,0.9832382799236719,0.016761720076328146
