phase,gpu,samples,power_mean_w
baseline,0,120,225.00750000000002
baseline,1,120,85.24983333333333
drain,0,24,229.165
drain,1,24,235.64958333333334
post,0,119,233.00731092436976
post,1,119,251.0551260504201
