model,offered_rps,replicates,exact_completion_rate_min,p90_ttft_s,p90_ttft_s_min,p90_ttft_s_max,p90_mean_tpot_s,p90_mean_tpot_s_min,p90_mean_tpot_s_max
openai/gpt-oss-20b,0.125,1,1.0,0.8698829710000001,0.8698829710000001,0.8698829710000001,0.036736398233333335,0.036736398233333335,0.036736398233333335
openai/gpt-oss-20b,0.25,1,1.0,1.8207345284000007,1.8207345284000007,1.8207345284000007,0.09535701890117303,0.09535701890117303,0.09535701890117303
openai/gpt-oss-20b,0.5,1,1.0,2.1462263123,2.1462263123,2.1462263123,0.13528104110019548,0.13528104110019548,0.13528104110019548
openai/gpt-oss-20b,1.0,1,1.0,2.5784945317000005,2.5784945317000005,2.5784945317000005,0.15991851738093843,0.15991851738093843,0.15991851738093843
openai/gpt-oss-20b,2.0,1,1.0,3.6169403240000007,3.6169403240000007,3.6169403240000007,0.1608867778374389,0.1608867778374389,0.1608867778374389
openai/gpt-oss-20b,4.0,1,1.0,12.835196903500002,12.835196903500002,12.835196903500002,0.16279078030547411,0.16279078030547411,0.16279078030547411
openai/gpt-oss-20b,8.0,1,1.0,18.264094481300003,18.264094481300003,18.264094481300003,0.16261276457155424,0.16261276457155424,0.16261276457155424
