scenario_id,match_id,method,repeat,migrated_sessions,pre_load,post_load,pre_window_power_w,post_window_power_w,requested_shed_w,predicted_shed_w,measured_shed_w,predicted_percent,measured_percent,legacy_predicted_shed_w,model,model_P0_w,model_delta_p_w,model_a_per_prefill_tps,model_b_per_decode_tps,predicted_pre_power_w,predicted_post_power_w
pv-7fd1486b1c6c346d,power-00-f7e97c59b5dc6a00-n2,greedy,0,2,0.4,0.30000000000000004,129.928707985158,128.676168165658,16.284840984758304,16.284840984758304,1.252539819500015,30.283800896641836,2.3292623209742156,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-e15e98a9ffd7f6af,power-00-f7e97c59b5dc6a00-n2,kv_only,0,2,0.4,0.30000000000000004,150.05132937946004,130.847333266978,16.284840984758304,16.284840984758304,19.20399611248203,30.283800896641836,35.71235330050852,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-80d30ff61f8d8fea,power-00-f7e97c59b5dc6a00-n2,isolated_fastest,0,2,0.4,0.30000000000000004,142.68985429141202,129.449890898722,16.284840984758304,16.284840984758304,13.239963392690015,30.283800896641836,24.621451056127817,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-40d88801a8ccc498,power-00-f7e97c59b5dc6a00-n2,queue_haul_power_blind,0,2,0.4,0.30000000000000004,130.55266594357798,125.95910443526598,16.284840984758304,16.284840984758304,4.593561508311993,30.283800896641836,8.542331009212663,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-bcae5c39c073365d,power-00-f7e97c59b5dc6a00-n2,queue_haul_deadline_blind,0,2,0.4,0.30000000000000004,164.105162217316,130.874355319142,16.284840984758304,16.284840984758304,33.230806898173995,30.283800896641836,61.797050439789075,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-333096afa4ab0cc5,power-00-f7e97c59b5dc6a00-n2,queue_haul,0,2,0.4,0.30000000000000004,151.01162433663802,128.22836934363198,16.284840984758304,16.284840984758304,22.78325499300604,30.283800896641836,42.368455340238384,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-47b00861fe2f705a,power-00-f7e97c59b5dc6a00-n2,replay_only,0,2,0.4,0.30000000000000004,146.366448366058,131.412047096222,16.284840984758304,16.284840984758304,14.954401269835984,30.283800896641836,27.809673487635976,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-8d4643396bf3c015,power-01-b6455b687844b7e4-n2,queue_haul_power_blind,1,2,0.4,0.30000000000000004,143.95593698925802,126.81295825024202,16.284840984758304,16.284840984758304,17.142978739016,30.283800896641836,31.879620770852117,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-6ec3417fc23fa378,power-01-b6455b687844b7e4-n2,queue_haul_deadline_blind,1,2,0.4,0.30000000000000004,135.46110448347596,130.14932167039797,16.284840984758304,16.284840984758304,5.311782813077997,30.283800896641836,9.877957866952151,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
pv-080261a49bac7c43,power-01-b6455b687844b7e4-n2,greedy,1,2,0.4,0.30000000000000004,141.84073155883397,127.72329006379601,16.284840984758304,16.284840984758304,14.117441495037951,30.283800896641836,26.25323684805168,24.73331778676541,phase_aware_saturating_scratch_fit_v1,87.77238805689501,117.3685288710951,0.00032815420503721327,0.008579728695286165,141.54648675850194,125.26164577374364
