phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,310.87462500000004
baseline,1,240,240,1.0,83.20745833333334
drain,0,311,311,1.0,100.31845659163987
drain,1,311,311,1.0,340.45794212218647
post,0,239,239,1.0,88.51924686192469
post,1,239,239,1.0,325.2213389121339
