bandwidth_state,causal_destination_switches,causal_method_switches,causal_redirected_sessions,context_seed,control_cutoff_shed_w,control_eventual_success,control_shortfall_fraction,control_shortfall_w,control_target_s,detection_at_s,fault_at_s,fault_axis,healthy_east_load,initial_impaired_sessions,migration_cutoff_s,move_concurrency,no_extrapolation,observation_horizon_s,outcome,pending_impaired_sessions,power_deadline_s,predecision_fraction,predecision_shed_w,prefill_state,qualifies,repair_cutoff_shed_w,repair_solver_error,repair_target_s,requested_shed_w,stable_target_s,sweep_phase,target_fraction,target_time_gap_s
germany,0,1,1,0,30.116723399193546,True,0.02624109317921311,0.8115928279937918,27.29662575248566,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,applied,4,30.0,0.07106832725929585,2.19802369921274,none,False,41.633594448832994,,21.66049072799498,30.928316227187338,10.264142422565682,common_workload_multiaxis,0.5,5.636135024490681
none,0,0,0,0,25.13828098064681,True,0.1872082270502276,5.790035246540526,65.55715169572758,2.0,1.0,prefill,0.5,8,25.0,4,True,120.0,revised_maximum,7,30.0,0.0,0.0,germany,False,25.13828098064681,,65.55715169572757,30.928316227187338,10.264142422565682,common_workload_multiaxis,0.5,1.4210854715202004e-14
germany,0,0,0,0,20.31619409929411,True,0.34311994387087624,10.61212212789323,86.07147109376183,2.0,1.0,joint,0.5,12,25.0,4,True,120.0,revised_maximum,11,30.0,0.0,0.0,germany,False,20.31619409929411,,86.07147109376183,30.928316227187338,10.264142422565682,common_workload_multiaxis,0.5,0.0
germany,0,0,0,0,23.36212712359739,False,0.313305734813357,10.659020726308682,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,23.36212712359739,,,34.02114784990607,,common_workload_multiaxis,0.55,
none,0,0,0,0,18.383684705050655,False,0.45963949287791567,15.637463144855417,,2.0,1.0,prefill,0.5,6,25.0,4,True,120.0,revised_maximum,6,30.0,0.0,0.0,germany,False,18.383684705050655,,,34.02114784990607,,common_workload_multiaxis,0.55,
germany,0,0,0,0,16.385663680926115,False,0.5183682880655259,17.635484168979957,,2.0,1.0,joint,0.5,10,25.0,4,True,120.0,revised_maximum,10,30.0,0.0,0.0,germany,False,16.385663680926115,,,34.02114784990607,,common_workload_multiaxis,0.55,
germany,0,0,0,0,23.36212712359739,False,0.3705302569122439,13.751852349027416,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,23.36212712359739,,,37.113979472624806,,common_workload_multiaxis,0.6,
none,0,0,0,0,18.383684705050655,False,0.5046695351380893,18.73029476757415,,2.0,1.0,prefill,0.5,6,25.0,4,True,120.0,revised_maximum,6,30.0,0.0,0.0,germany,False,18.383684705050655,,,37.113979472624806,,common_workload_multiaxis,0.6,
germany,0,0,0,0,16.385663680926115,False,0.5585042640600654,20.72831579169869,,2.0,1.0,joint,0.5,10,25.0,4,True,120.0,revised_maximum,10,30.0,0.0,0.0,germany,False,16.385663680926115,,,37.113979472624806,,common_workload_multiaxis,0.6,
germany,0,0,0,0,23.36212712359739,False,0.41895100638053284,16.84468397174615,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,23.36212712359739,,,40.20681109534354,,common_workload_multiaxis,0.65,
none,0,0,0,0,18.383684705050655,False,0.5427718785890056,21.823126390292884,,2.0,1.0,prefill,0.5,6,25.0,4,True,120.0,revised_maximum,6,30.0,0.0,0.0,germany,False,18.383684705050655,,,40.20681109534354,,common_workload_multiaxis,0.65,
germany,0,0,0,0,16.385663680926115,False,0.5924654745169834,23.821147414417425,,2.0,1.0,joint,0.5,10,25.0,4,True,120.0,revised_maximum,10,30.0,0.0,0.0,germany,False,16.385663680926115,,,40.20681109534354,,common_workload_multiaxis,0.65,
germany,0,0,0,0,23.36212712359739,False,0.4604545059247805,19.937515594464884,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,23.36212712359739,,,43.29964271806227,,common_workload_multiaxis,0.7,
none,0,0,0,0,18.383684705050655,False,0.5754310301183623,24.91595801301162,,2.0,1.0,prefill,0.5,6,25.0,4,True,120.0,revised_maximum,6,30.0,0.0,0.0,germany,False,18.383684705050655,,,43.29964271806227,,common_workload_multiaxis,0.7,
germany,0,0,0,0,16.385663680926115,False,0.6215750834800561,26.91397903713616,,2.0,1.0,joint,0.5,10,25.0,4,True,120.0,revised_maximum,10,30.0,0.0,0.0,germany,False,16.385663680926115,,,43.29964271806227,,common_workload_multiaxis,0.7,
germany,0,0,0,1,40.333588652140236,True,0.0,0.0,23.16375946361526,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,unchanged,4,30.0,0.07106832725929585,2.19802369921274,none,False,40.333588652140236,,23.302832042998517,30.928316227187338,11.634092184785098,common_workload_multiaxis,0.5,-0.13907257938325657
none,9,1,9,1,20.31619409929411,True,0.34311994387087624,10.61212212789323,86.07147109376183,2.0,1.0,prefill,0.5,10,25.0,4,True,120.0,applied,9,30.0,0.0,0.0,germany,False,26.876774494719626,,35.61681349717506,30.928316227187338,11.634092184785098,common_workload_multiaxis,0.5,50.45465759658677
germany,9,1,9,1,20.31619409929411,True,0.34311994387087624,10.61212212789323,93.57159699017126,2.0,1.0,joint,0.5,14,25.0,4,True,120.0,applied,13,30.0,0.0,0.0,germany,False,26.876774494719626,,35.61681349717506,30.928316227187338,11.634092184785098,common_workload_multiaxis,0.5,57.9547834929962
germany,0,0,0,1,22.651950584505187,False,0.3341802961957462,11.369197265400885,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,22.651950584505187,,,34.02114784990607,,common_workload_multiaxis,0.55,
none,0,0,0,1,20.794728145726992,False,0.38877053068671213,13.22641970417908,,2.0,1.0,prefill,0.5,8,25.0,4,True,120.0,revised_maximum,8,30.0,0.0,0.0,germany,False,20.794728145726992,,,34.02114784990607,,common_workload_multiaxis,0.55,
germany,0,0,0,1,18.383684705050655,False,0.45963949287791567,15.637463144855417,,2.0,1.0,joint,0.5,12,25.0,4,True,120.0,revised_maximum,12,30.0,0.0,0.0,germany,False,18.383684705050655,,,34.02114784990607,,common_workload_multiaxis,0.55,
germany,0,0,0,1,22.651950584505187,False,0.38966527151276736,14.462028888119619,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,22.651950584505187,,,37.113979472624806,,common_workload_multiaxis,0.6,
none,0,0,0,1,20.794728145726992,False,0.4397063197961528,16.319251326897813,,2.0,1.0,prefill,0.5,8,25.0,4,True,120.0,revised_maximum,8,30.0,0.0,0.0,germany,False,20.794728145726992,,,37.113979472624806,,common_workload_multiaxis,0.6,
germany,0,0,0,1,18.383684705050655,False,0.5046695351380893,18.73029476757415,,2.0,1.0,joint,0.5,12,25.0,4,True,120.0,revised_maximum,12,30.0,0.0,0.0,germany,False,18.383684705050655,,,37.113979472624806,,common_workload_multiaxis,0.6,
germany,0,0,0,1,22.651950584505187,False,0.43661409678101604,17.554860510838353,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,22.651950584505187,,,40.20681109534354,,common_workload_multiaxis,0.65,
none,0,0,0,1,20.794728145726992,False,0.4828058336579872,19.412082949616547,,2.0,1.0,prefill,0.5,8,25.0,4,True,120.0,revised_maximum,8,30.0,0.0,0.0,germany,False,20.794728145726992,,,40.20681109534354,,common_workload_multiaxis,0.65,
germany,0,0,0,1,18.383684705050655,False,0.5427718785890056,21.823126390292884,,2.0,1.0,joint,0.5,12,25.0,4,True,120.0,revised_maximum,12,30.0,0.0,0.0,germany,False,18.383684705050655,,,40.20681109534354,,common_workload_multiaxis,0.65,
germany,0,0,0,1,22.651950584505187,False,0.4768559470109434,20.647692133557086,,2.0,1.0,bandwidth,0.5,4,25.0,4,True,120.0,revised_maximum,4,30.0,0.0,0.0,none,False,22.651950584505187,,,43.29964271806227,,common_workload_multiaxis,0.7,
none,0,0,0,1,20.794728145726992,False,0.5197482741109881,22.50491457233528,,2.0,1.0,prefill,0.5,8,25.0,4,True,120.0,revised_maximum,8,30.0,0.0,0.0,germany,False,20.794728145726992,,,43.29964271806227,,common_workload_multiaxis,0.7,
germany,0,0,0,1,18.383684705050655,False,0.5754310301183623,24.91595801301162,,2.0,1.0,joint,0.5,12,25.0,4,True,120.0,revised_maximum,12,30.0,0.0,0.0,germany,False,18.383684705050655,,,43.29964271806227,,common_workload_multiaxis,0.7,
