phase,gpu,samples,power_mean_w
baseline,0,120,231.31641666666667
baseline,1,120,83.29441666666666
drain,0,157,178.45961783439492
drain,1,157,92.69738853503186
post,0,119,110.35739495798315
post,1,119,146.30092436974792
