model,tokens,retained_tokens,bandwidth_gbps,rtt_ms,kv_bytes_per_token,context_MB,kv_GB,context_transfer_s,kv_transfer_s,prefill_tok_s,context_plus_recompute_s,breakeven_prefill_tok_s
2T_MoE_moderate_GQA,1000,1000,0.1,30.0,393216,0.004,0.393216,0.03032,31.487280000000002,,,31.789467259391877
2T_MoE_moderate_GQA,1000,1000,0.1,30.0,393216,0.004,0.393216,0.03032,31.487280000000002,300.0,3.3636533333333336,31.789467259391877
2T_MoE_moderate_GQA,1000,1000,0.1,30.0,393216,0.004,0.393216,0.03032,31.487280000000002,1000.0,1.03032,31.789467259391877
2T_MoE_moderate_GQA,1000,1000,0.1,30.0,393216,0.004,0.393216,0.03032,31.487280000000002,3000.0,0.36365333333333333,31.789467259391877
2T_MoE_moderate_GQA,1000,1000,0.1,30.0,393216,0.004,0.393216,0.03032,31.487280000000002,10000.0,0.13032,31.789467259391877
2T_MoE_moderate_GQA,1000,1000,0.1,30.0,393216,0.004,0.393216,0.03032,31.487280000000002,30000.0,0.06365333333333334,31.789467259391877
2T_MoE_moderate_GQA,1000,1000,0.1,30.0,393216,0.004,0.393216,0.03032,31.487280000000002,100000.0,0.04032,31.789467259391877
2T_MoE_moderate_GQA,1000,1000,0.5,30.0,393216,0.004,0.393216,0.030064,6.321456,,,158.9473362969594
2T_MoE_moderate_GQA,1000,1000,0.5,30.0,393216,0.004,0.393216,0.030064,6.321456,300.0,3.3633973333333333,158.9473362969594
2T_MoE_moderate_GQA,1000,1000,0.5,30.0,393216,0.004,0.393216,0.030064,6.321456,1000.0,1.030064,158.9473362969594
2T_MoE_moderate_GQA,1000,1000,0.5,30.0,393216,0.004,0.393216,0.030064,6.321456,3000.0,0.3633973333333333,158.9473362969594
2T_MoE_moderate_GQA,1000,1000,0.5,30.0,393216,0.004,0.393216,0.030064,6.321456,10000.0,0.130064,158.9473362969594
2T_MoE_moderate_GQA,1000,1000,0.5,30.0,393216,0.004,0.393216,0.030064,6.321456,30000.0,0.06339733333333333,158.9473362969594
2T_MoE_moderate_GQA,1000,1000,0.5,30.0,393216,0.004,0.393216,0.030064,6.321456,100000.0,0.040064,158.9473362969594
2T_MoE_moderate_GQA,1000,1000,1.0,30.0,393216,0.004,0.393216,0.030032,3.175728,,,317.8946725939188
2T_MoE_moderate_GQA,1000,1000,1.0,30.0,393216,0.004,0.393216,0.030032,3.175728,300.0,3.3633653333333333,317.8946725939188
2T_MoE_moderate_GQA,1000,1000,1.0,30.0,393216,0.004,0.393216,0.030032,3.175728,1000.0,1.030032,317.8946725939188
2T_MoE_moderate_GQA,1000,1000,1.0,30.0,393216,0.004,0.393216,0.030032,3.175728,3000.0,0.3633653333333333,317.8946725939188
2T_MoE_moderate_GQA,1000,1000,1.0,30.0,393216,0.004,0.393216,0.030032,3.175728,10000.0,0.130032,317.8946725939188
2T_MoE_moderate_GQA,1000,1000,1.0,30.0,393216,0.004,0.393216,0.030032,3.175728,30000.0,0.06336533333333333,317.8946725939188
