dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,4.390377521514893,4.390377521514893,6.214624881744385,1.8241796493530273,2.1457672119140625e-05
1,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,1.4601848125457764,1.4601848125457764,1.460252285003662,2.288818359375e-05,6.198883056640625e-06
2,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,1.6008217334747314,1.6008217334747314,1.600877285003662,1.7642974853515625e-05,5.7220458984375e-06
3,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,6.473286151885986,6.473286151885986,7.247089624404907,0.7736952304840088,5.14984130859375e-05
4,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,7.542853593826294,8.021963596343994,9.139043092727661,1.1170220375061035,1.8596649169921875e-05
5,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,5.4426329135894775,5.88442325592041,5.884512424468994,3.218650817871094e-05,7.62939453125e-06
