context_seed,control_cutoff_shed_w,control_shortfall_fraction,control_target_s,detection_at_s,fault_at_s,healthy_east_load,migration_cutoff_s,move_concurrency,no_extrapolation,outcome,power_deadline_s,predecision_fraction,predecision_shed_w,qualifies,repair_cutoff_shed_w,repair_target_s,requested_shed_w,stable_target_s,sweep_phase,target_fraction,target_time_gap_s
8,26.31427865040854,0.14918489396208573,63.05727759213701,2.0,1.0,0.5,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,26.31427865040854,62.05727759213699,30.928316227187338,14.83145870919094,resource_headroom,0.5,1.0000000000000213
8,23.72506694463712,0.3026376696839574,128.0713091164105,2.0,1.0,0.5,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,126.0713091164105,34.02114784990607,12.2418189578818,resource_headroom,0.55,2.0
8,23.72506694463712,0.3607511972102943,114.31956156991262,2.0,1.0,0.5,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,112.31956156991262,37.113979472624806,15.716020979557781,resource_headroom,0.6,2.0
8,23.72506694463712,0.40992418204027165,169.11752522366083,2.0,1.0,0.5,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,167.11752522366083,40.20681109534354,18.634541082801874,resource_headroom,0.65,2.0
8,23.72506694463712,0.45207245475168084,169.11752522366083,2.0,1.0,0.5,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,167.11752522366083,43.29964271806227,23.204580519703196,resource_headroom,0.7,2.0
8,26.31427865040854,0.14918489396208573,63.05727759213701,2.0,1.0,0.4,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,26.31427865040854,62.05727759213699,30.928316227187338,14.83145870919094,resource_headroom,0.5,1.0000000000000213
8,23.72506694463712,0.3026376696839574,128.0713091164105,2.0,1.0,0.4,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,126.0713091164105,34.02114784990607,12.2418189578818,resource_headroom,0.55,2.0
8,23.72506694463712,0.3607511972102943,114.31956156991262,2.0,1.0,0.4,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,112.31956156991262,37.113979472624806,15.716020979557781,resource_headroom,0.6,2.0
8,23.72506694463712,0.40992418204027165,169.11752522366083,2.0,1.0,0.4,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,167.11752522366083,40.20681109534354,18.634541082801874,resource_headroom,0.65,2.0
8,23.72506694463712,0.45207245475168084,169.11752522366083,2.0,1.0,0.4,25.0,4,True,revised_maximum,30.0,0.0,0.0,False,23.72506694463712,167.11752522366083,43.29964271806227,23.204580519703196,resource_headroom,0.7,2.0
