auroc,brier,brier_ci_high,brier_ci_low,ece,feasible,log_loss,model,n_checkpoints_test,n_runs_test,n_runs_train,note,positive_rate_data,predicted_positive_rate,scheme,source_slice,target
0.886653252850436,0.10505731148019168,0.14963140120244864,0.04093408577775898,0.022089982534515797,True,0.30446631843130867,empirical_bin_v0,92.0,6.0,24.0,,0.22826086956521738,0.23199963809634522,holdout,holdout->all,y_future_progress_drop_h5
0.9751844399731724,0.04746820368684982,0.1294001231125061,0.008195294022279967,0.060384741681009206,True,0.16285291421040846,logreg_v0,92.0,6.0,24.0,,0.22826086956521738,0.24601653205350585,holdout,holdout->all,y_future_progress_drop_h5
,0.013423273072248196,0.0156947383649784,0.01069453175184532,0.09001017184794179,True,0.09771701245764977,empirical_bin_v0,122.0,6.0,26.0,run_constant_target,0.0,0.09001017184794181,holdout,holdout->all,y_submit_without_validation
,0.012618451575827166,0.013940727540670179,0.011754482256919946,0.0837853709608693,True,0.09093691251520002,logreg_v0,122.0,6.0,26.0,run_constant_target,0.0,0.08378537096086931,holdout,holdout->all,y_submit_without_validation
0.5746596398770312,0.24805589034714934,0.28520327287258995,0.18327221132532964,0.28176761317866017,True,0.722884296691626,empirical_bin_v0,122.0,6.0,26.0,run_constant_target,0.8114754098360656,0.5297077966574053,holdout,holdout->all,y_success_eventual
0.5272288098375055,0.3077831057653489,0.36150394306607714,0.21720726765906095,0.3569328635783188,True,0.8257077139170685,logreg_v0,122.0,6.0,26.0,run_constant_target,0.8114754098360656,0.45454254625774687,holdout,holdout->all,y_success_eventual
,0.001936494662691873,0.002590544785524338,0.0017214345328926848,0.025859179857076062,True,0.02688371691285882,empirical_bin_v0,92.0,6.0,24.0,,0.0,0.025859179857076062,holdout,holdout->all,y_validation_new_work_h5
,0.001894173134795946,0.0035019652436511363,0.001001195378479779,0.02773230923676523,True,0.028740071175212576,logreg_v0,92.0,6.0,24.0,,0.0,0.027732309236765226,holdout,holdout->all,y_validation_new_work_h5
,,,,,False,,empirical_bin_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_future_progress_drop_h5
,,,,,False,,logreg_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_future_progress_drop_h5
,,,,,False,,empirical_bin_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_submit_without_validation
,,,,,False,,logreg_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_submit_without_validation
,,,,,False,,empirical_bin_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_success_eventual
,,,,,False,,logreg_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_success_eventual
,,,,,False,,empirical_bin_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_validation_new_work_h5
,,,,,False,,logreg_v0,,,,no joined rows,,,loro,hermes_pilot_h5_v2,y_validation_new_work_h5
0.8432935493037795,0.0994062480202219,0.12656601912322635,0.071940051945367,0.09677001421054662,True,0.2984912452022835,empirical_bin_v0,499.0,20.0,20.0,,0.17034068136272545,0.17607317638524456,loro,swe_agent_pilot,y_future_progress_drop_h5
0.9768968456947996,0.03933643964066982,0.062166248903801305,0.01928791333921981,0.03238968338341235,True,0.1380393041830883,logreg_v0,499.0,20.0,20.0,,0.17034068136272545,0.17603268313844114,loro,swe_agent_pilot,y_future_progress_drop_h5
