node,phase,samples,mean_power_w,median_power_w
sweden,pre,3007,179.11551380113067,182.29
sweden,post,3087,97.97643990929706,97.39
east,pre,3007,159.2834752244762,149.96
east,post,3087,118.75469711694201,110.53
west,pre,3007,145.03488194213503,135.59
west,post,3087,143.67109815354712,136.1
