commit_100_s,commit_50_s,commit_90_s,completed_migrations,condition,context_profile,deadline_s,episode,match_id,matched_control_complete,planned_migrations,policy,readiness_100_s,readiness_50_s,readiness_90_s,repeat,required_deadline_s,sample_id,scenario_id,status,token_distribution
5.390807875,5.088841658,5.390807875,8,medium-fixed-2500mbps-30s,medium,180.0,57,e0daa9be315f7db5,True,8,queue_haul_deadline_blind,5.087655977,4.922356449,5.087655977,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,complete,fixed
5.013646666,4.825787824,5.013646666,8,medium-fixed-2500mbps-30s,medium,180.0,57,e0daa9be315f7db5,True,8,queue_haul_power_blind,4.82532386,4.658027046,4.82532386,57,30.0,51fde7b51569b7ba,p-e10941a7139e8b70,complete,fixed
5.024122471,4.813374928,5.024122471,8,medium-fixed-2500mbps-30s,medium,180.0,57,e0daa9be315f7db5,True,8,isolated_fastest,4.832548339,4.622326636,4.832548339,57,30.0,51fde7b51569b7ba,p-4c7d50ef9116db83,complete,fixed
2.560135028,2.49017083,2.560135028,8,small-fixed-10000mbps-19s,small,180.0,42,6c942039151e55f3,True,8,queue_haul_deadline_blind,2.349068997,2.281120358,2.349068997,42,19.0,7094953b638284e1,p-10f89d14918ef390,complete,fixed
2.394845621,2.346769121,2.394845621,8,small-fixed-10000mbps-19s,small,180.0,42,6c942039151e55f3,True,8,isolated_fastest,2.204702598,2.158640946,2.204702598,42,19.0,7094953b638284e1,p-de36a5be978f0ea6,complete,fixed
2.449489134,2.332567097,2.449489134,8,small-fixed-10000mbps-19s,small,180.0,42,6c942039151e55f3,True,8,queue_haul_power_blind,2.307712335,2.145790575,2.307712335,42,19.0,7094953b638284e1,p-0092c42541cf5c4f,complete,fixed
2.483623489,2.345866749,2.483623489,8,small-fixed-10000mbps-30s,small,180.0,47,17092eba890236a4,True,8,queue_haul_power_blind,2.34380846,2.152715263,2.34380846,47,30.0,e59269064ede73aa,p-5d58c8867889d9a1,complete,fixed
2.365875011,2.31896803,2.365875011,8,small-fixed-10000mbps-30s,small,180.0,47,17092eba890236a4,True,8,isolated_fastest,2.203815922,2.151720981,2.203815922,47,30.0,e59269064ede73aa,p-6db00a48186f0e0a,complete,fixed
2.392873343,2.343344657,2.392873343,8,small-fixed-10000mbps-30s,small,180.0,47,17092eba890236a4,True,8,queue_haul_deadline_blind,2.225442146,2.179412136,2.225442146,47,30.0,e59269064ede73aa,p-9b73eaac4987aa07,complete,fixed
3.661251731,1.492850499,3.661251731,8,mixed-fixed-10000mbps-30s,mixed,180.0,95,640a9adb735d6f3c,True,8,queue_haul_power_blind,3.468915272,1.344075593,3.468915272,95,30.0,7d1b0ab854d9df69,p-4388e82452f0abf5,complete,fixed
3.400695255,1.408420766,3.400695255,8,mixed-fixed-10000mbps-30s,mixed,180.0,95,640a9adb735d6f3c,True,8,queue_haul_deadline_blind,3.207200766,1.254954769,3.207200766,95,30.0,7d1b0ab854d9df69,p-0cb2ff4f9334cf44,complete,fixed
4.125670251,1.342439259,4.125670251,8,mixed-fixed-10000mbps-30s,mixed,180.0,95,640a9adb735d6f3c,True,8,isolated_fastest,3.920946432,1.127127468,3.920946432,95,30.0,7d1b0ab854d9df69,p-ac8b97a47313868d,complete,fixed
5.553421568,5.200489689,5.553421568,8,mixed-fixed-5000mbps-30s,mixed,180.0,88,529540c1951b0b9a,True,8,queue_haul_deadline_blind,5.279988283,5.026807507,5.279988283,88,30.0,a9500bdb35e133a1,p-928384915ba33d9e,complete,fixed
5.339579394,5.037269868,5.339579394,8,mixed-fixed-5000mbps-30s,mixed,180.0,88,529540c1951b0b9a,True,8,queue_haul_power_blind,5.155052346,4.896260094,5.155052346,88,30.0,a9500bdb35e133a1,p-837e1091fbb9c422,complete,fixed
5.358757685,5.344406312,5.358757685,8,mixed-fixed-5000mbps-30s,mixed,180.0,88,529540c1951b0b9a,True,8,isolated_fastest,5.340218269,4.896608126,5.340218269,88,30.0,a9500bdb35e133a1,p-ee2cb6965d60a4cc,complete,fixed
8.083859362,5.234664491,8.083859362,8,large-fixed-10000mbps-19s,large,180.0,114,7148e115bcd4269f,True,8,queue_haul_deadline_blind,7.877505748,5.079575647,7.877505748,114,19.0,e33c7532b46acaed,p-c76a7a5d278ea730,complete,fixed
8.448390506,4.189240704,8.448390506,8,large-fixed-10000mbps-19s,large,180.0,114,7148e115bcd4269f,True,8,isolated_fastest,8.433986809,4.028453003,8.433986809,114,19.0,e33c7532b46acaed,p-00c8b9594395ba30,complete,fixed
9.713499099,7.107775818,9.713499099,8,large-fixed-10000mbps-19s,large,180.0,114,7148e115bcd4269f,True,8,queue_haul_power_blind,9.495442607,6.93922273,9.495442607,114,19.0,e33c7532b46acaed,p-2df1a0bd80c82495,complete,fixed
5.276369242,4.920546984,5.276369242,8,medium-fixed-2500mbps-30s,medium,180.0,59,b4cd7b1c72538c62,True,8,isolated_fastest,5.058758023,4.823485613,5.058758023,59,30.0,f7e97c59b5dc6a00,p-325d0c261e775564,complete,fixed
5.12713438,4.838665462,5.12713438,8,medium-fixed-2500mbps-30s,medium,180.0,59,b4cd7b1c72538c62,True,8,queue_haul_deadline_blind,4.94113226,4.657585927,4.94113226,59,30.0,f7e97c59b5dc6a00,p-e4982fccd79c255d,complete,fixed
5.086495837,4.762842144,5.086495837,8,medium-fixed-2500mbps-30s,medium,180.0,59,b4cd7b1c72538c62,True,8,queue_haul_power_blind,4.901238589,4.621962877,4.901238589,59,30.0,f7e97c59b5dc6a00,p-97e00529c97d8e3f,complete,fixed
1.599927499,1.552814157,1.599927499,8,tiny-fixed-5000mbps-19s,tiny,180.0,14,6f479d3d88892d48,True,8,queue_haul_power_blind,1.368409786,1.343313782,1.368409786,14,19.0,bdd7bd934af6b024,p-a65bf9a62795e9ff,complete,fixed
1.511092026,1.434338771,1.511092026,8,tiny-fixed-5000mbps-19s,tiny,180.0,14,6f479d3d88892d48,True,8,queue_haul_deadline_blind,1.284643757,1.235774715,1.284643757,14,19.0,bdd7bd934af6b024,p-1565582ea27d8300,complete,fixed
1.428254968,1.407506556,1.428254968,8,tiny-fixed-5000mbps-19s,tiny,180.0,14,6f479d3d88892d48,True,8,isolated_fastest,1.262951246,1.216797194,1.262951246,14,19.0,bdd7bd934af6b024,p-0ecb101be3e2f40f,complete,fixed
5.32769284,5.007355869,5.32769284,8,medium-fixed-2500mbps-30s,medium,180.0,58,f48fc38e4aa6287c,True,8,isolated_fastest,5.104696775,4.848602788,5.104696775,58,30.0,b6455b687844b7e4,p-33b4babfbdd27dce,complete,fixed
5.094093131,4.787444719,5.094093131,8,medium-fixed-2500mbps-30s,medium,180.0,58,f48fc38e4aa6287c,True,8,queue_haul_power_blind,4.905313146,4.713383764,4.905313146,58,30.0,b6455b687844b7e4,p-9f68af098cff9603,complete,fixed
7.636779299,7.338662998,7.636779299,8,medium-fixed-2500mbps-30s,medium,180.0,58,f48fc38e4aa6287c,True,8,queue_haul_deadline_blind,7.451756636,7.192940957,7.451756636,58,30.0,b6455b687844b7e4,p-2e7c65805773b5a9,complete,fixed
2.569370982,2.523577092,2.569370982,8,small-fixed-10000mbps-30s,small,180.0,46,4e7f8c9eddffcc2a,True,8,isolated_fastest,2.389209939,2.298007164,2.389209939,46,30.0,837f3ff09bbaac24,p-ace6e0edb2508bf8,complete,fixed
2.391521134,2.342160551,2.391521134,8,small-fixed-10000mbps-30s,small,180.0,46,4e7f8c9eddffcc2a,True,8,queue_haul_power_blind,2.248167385,2.17999195,2.248167385,46,30.0,837f3ff09bbaac24,p-4bd3f0aaa906b250,complete,fixed
2.409560588,2.366455694,2.409560588,8,small-fixed-10000mbps-30s,small,180.0,46,4e7f8c9eddffcc2a,True,8,queue_haul_deadline_blind,2.219860141,2.172069799,2.219860141,46,30.0,837f3ff09bbaac24,p-9bdb485700f87086,complete,fixed
3.008787291,2.563259109,3.008787291,8,small-fixed-5000mbps-30s,small,180.0,39,1f4658844f53d474,True,8,isolated_fastest,2.536166918,2.326480187,2.536166918,39,30.0,7094953b638284e1,p-6a76095d73d61ace,complete,fixed
2.461731941,2.368611119,2.461731941,8,small-fixed-5000mbps-30s,small,180.0,39,1f4658844f53d474,True,8,queue_haul_power_blind,2.319341771,2.17700114,2.319341771,39,30.0,7094953b638284e1,p-b48a5b484ab6ea98,complete,fixed
2.414964238,2.323478808,2.414964238,8,small-fixed-5000mbps-30s,small,180.0,39,1f4658844f53d474,True,8,queue_haul_deadline_blind,2.223413328,2.131182436,2.223413328,39,30.0,7094953b638284e1,p-d0af92525dfdbada,complete,fixed
6.107766618,5.846381183,6.107766618,8,mixed-fixed-1000mbps-30s,mixed,180.0,75,c8ba7a42d861e15c,True,8,queue_haul_power_blind,5.891458691,5.629503482,5.891458691,75,30.0,3c2f94941cabfb0f,p-4292ca39dc6c2f1f,complete,fixed
5.357067181,5.038251613,5.357067181,8,mixed-fixed-1000mbps-30s,mixed,180.0,75,c8ba7a42d861e15c,True,8,queue_haul_deadline_blind,5.171737352,4.896677018,5.171737352,75,30.0,3c2f94941cabfb0f,p-e5f745129834992f,complete,fixed
5.337376526,5.060900503,5.337376526,8,mixed-fixed-1000mbps-30s,mixed,180.0,75,c8ba7a42d861e15c,True,8,isolated_fastest,5.15188122,4.871292251,5.15188122,75,30.0,3c2f94941cabfb0f,p-35ab60c5f929019f,complete,fixed
10.56013482,10.294036025,10.56013482,8,large-fixed-1000mbps-19s,large,180.0,98,710c646202a2bdb4,True,8,queue_haul_power_blind,10.362562845,10.144637379,10.362562845,98,19.0,c44d256c433cbdd6,p-6d9e9ce5043d1880,complete,fixed
11.807057156,11.553789483,11.807057156,8,large-fixed-1000mbps-19s,large,180.0,98,710c646202a2bdb4,True,8,queue_haul_deadline_blind,11.620840183,11.362815502,11.620840183,98,19.0,c44d256c433cbdd6,p-925713c07aa3018f,complete,fixed
12.292759138,12.291361016,12.292759138,8,large-fixed-1000mbps-19s,large,180.0,98,710c646202a2bdb4,True,8,isolated_fastest,12.284325366,11.412373134,12.284325366,98,19.0,c44d256c433cbdd6,p-eb53bda663026f1d,complete,fixed
1.625185983,1.552434147,1.625185983,8,tiny-fixed-2500mbps-19s,tiny,180.0,8,1e80066276481ad8,True,8,queue_haul_power_blind,1.379323341,1.333021353,1.379323341,8,19.0,bdd7bd934af6b024,p-355d23b680aaca85,complete,fixed
1.441343268,1.374316119,1.441343268,8,tiny-fixed-2500mbps-19s,tiny,180.0,8,1e80066276481ad8,True,8,queue_haul_deadline_blind,1.258352793,1.212407232,1.258352793,8,19.0,bdd7bd934af6b024,p-04f3cef67783afad,complete,fixed
1.421403796,1.39762981,1.421403796,8,tiny-fixed-2500mbps-19s,tiny,180.0,8,1e80066276481ad8,True,8,isolated_fastest,1.257020599,1.210302217,1.257020599,8,19.0,bdd7bd934af6b024,p-da608441cc672685,complete,fixed
9.192954092,9.041044838,9.192954092,8,large-fixed-2500mbps-19s,large,180.0,103,f94c7d457b765277,True,8,queue_haul_power_blind,8.994250381,8.856101814,8.994250381,103,19.0,3a515af4dffc7733,p-d472ef3c50210fbc,complete,fixed
11.725079329,11.587257698,11.725079329,8,large-fixed-2500mbps-19s,large,180.0,103,f94c7d457b765277,True,8,queue_haul_deadline_blind,11.585729356,11.398032172,11.585729356,103,19.0,3a515af4dffc7733,p-9c6e40c4a5d4715f,complete,fixed
