committed_before_power_window,committed_by_deadline,condition,context_profile,episode,hit_power_target,match_id,policy,power_attainment_fraction,power_target_fraction,repeat,required_deadline_s,sample_id,scenario_id,token_distribution
8,8,medium-fixed-2500mbps-30s,medium,57,True,e0daa9be315f7db5,queue_haul_deadline_blind,1,1.0,57,30.0,51fde7b51569b7ba,p-875d9ad8254c3475,fixed
8,8,medium-fixed-2500mbps-30s,medium,57,True,e0daa9be315f7db5,queue_haul_power_blind,1,1.0,57,30.0,51fde7b51569b7ba,p-e10941a7139e8b70,fixed
8,8,medium-fixed-2500mbps-30s,medium,57,True,e0daa9be315f7db5,isolated_fastest,1,1.0,57,30.0,51fde7b51569b7ba,p-4c7d50ef9116db83,fixed
8,8,small-fixed-10000mbps-19s,small,42,True,6c942039151e55f3,queue_haul_deadline_blind,1,1.0,42,19.0,7094953b638284e1,p-10f89d14918ef390,fixed
8,8,small-fixed-10000mbps-19s,small,42,True,6c942039151e55f3,isolated_fastest,1,1.0,42,19.0,7094953b638284e1,p-de36a5be978f0ea6,fixed
8,8,small-fixed-10000mbps-19s,small,42,True,6c942039151e55f3,queue_haul_power_blind,1,1.0,42,19.0,7094953b638284e1,p-0092c42541cf5c4f,fixed
8,8,small-fixed-10000mbps-30s,small,47,True,17092eba890236a4,queue_haul_power_blind,1,1.0,47,30.0,e59269064ede73aa,p-5d58c8867889d9a1,fixed
8,8,small-fixed-10000mbps-30s,small,47,True,17092eba890236a4,isolated_fastest,1,1.0,47,30.0,e59269064ede73aa,p-6db00a48186f0e0a,fixed
8,8,small-fixed-10000mbps-30s,small,47,True,17092eba890236a4,queue_haul_deadline_blind,1,1.0,47,30.0,e59269064ede73aa,p-9b73eaac4987aa07,fixed
8,8,mixed-fixed-10000mbps-30s,mixed,95,True,640a9adb735d6f3c,queue_haul_power_blind,1,1.0,95,30.0,7d1b0ab854d9df69,p-4388e82452f0abf5,fixed
8,8,mixed-fixed-10000mbps-30s,mixed,95,True,640a9adb735d6f3c,queue_haul_deadline_blind,1,1.0,95,30.0,7d1b0ab854d9df69,p-0cb2ff4f9334cf44,fixed
